Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site
Fe,Tc,0.5,0.5,hollow
Fe,Ti,0.5,0.5,bridge
Fe,Ti,0.5,0.5,hollow
Fe,V,0.5,0.5,bridge
Fe,V,0.5,0.5,hollow
Fe,V,0.5,0.5,hollow
Fe,W,0.5,0.5,bridge
Fe,W,0.5,0.5,hollow
Fe,W,0.5,0.5,hollow
Co,Mo,0.5,0.5,bridge
Cr,Co,0.75,0.25,hollow
Cu,Co,0.75,0.25,hollow
Cu,Co,0.75,0.25,hollow
Cu,Co,0.75,0.25,top
Cu,Pt,0.5,0.5,bridge
Cu,Pt,0.5,0.5,hollow
Fe,Ru,0.5,0.5,hollow
Fe,Sc,0.5,0.5,hollow
Fe,Ti,0.5,0.5,bridge
Fe,Ti,0.5,0.5,hollow
Fe,Ti,0.5,0.5,top
Fe,V,0.5,0.5,hollow
Fe,W,0.5,0.5,hollow
Fe,Y,0.5,0.5,bridge
Hf,Co,0.75,0.25,bridge
Co,Mo,0.5,0.5,hollow
Cr,Co,0.75,0.25,hollow
Fe,Sc,0.5,0.5,bridge
Hf,Co,0.75,0.25,hollow
Co,Mo,0.5,0.5,hollow
Cr,Co,0.75,0.25,top
Hf,Tc,0.75,0.25,hollow
Hf,Mo,0.5,0.5,hollow
Hg,Pd,0.75,0.25,hollow
Hg,Pd,0.5,0.5,bridge
Hg,Pd,0.5,0.5,bridge
Ir,Co,0.75,0.25,bridge
Ir,Co,0.75,0.25,hollow
Ir,Co,0.75,0.25,top
Ir,Pt,0.5,0.5,hollow
La,Zn,0.5,0.5,~
Mn,Co,0.75,0.25,hollow
Co,Mo,0.5,0.5,hollow
Ir,Co,0.75,0.25,top
Ir,Ta,0.5,0.5,hollow
Mn,Co,0.75,0.25,hollow
Mn,Ni,0.75,0.25,bridge
Co,Mo,0.5,0.5,top
Mn,Ni,0.75,0.25,hollow
Mn,Ni,0.75,0.25,hollow
Mn,Sc,0.5,0.5,bridge
Mn,Sc,0.5,0.5,hollow
Mn,Ti,0.5,0.5,bridge
Mn,Ti,0.5,0.5,bridge
Mn,Ti,0.5,0.5,hollow
Mn,Ti,0.5,0.5,top
Mn,Ti,0.5,0.5,top
Mn,V,0.5,0.5,bridge
Mn,V,0.5,0.5,hollow
Mn,V,0.5,0.5,hollow
Mn,V,0.5,0.5,hollow
Mn,V,0.5,0.5,top
Mn,W,0.5,0.5,hollow
Mn,W,0.5,0.5,hollow
Mn,Zn,0.5,0.5,bridge
Mo,Co,0.75,0.25,top
Mo,Ni,0.5,0.5,hollow
Mo,Ti,0.5,0.5,hollow
Nb,Pd,0.75,0.25,hollow
Nb,Pt,0.75,0.25,hollow
Nb,Pt,0.75,0.25,hollow
Ni,Cr,0.75,0.25,hollow
Ni,Os,0.5,0.5,hollow
Ni,Pt,0.5,0.5,hollow
Ni,Pt,0.5,0.5,hollow
Ni,Ta,0.5,0.5,hollow
Mo,Co,0.75,0.25,hollow
Ni,Ti,0.5,0.5,bridge
Ni,Ti,0.5,0.5,bridge
Ni,Ti,0.5,0.5,hollow
Ni,Ti,0.5,0.5,top
Ni,V,0.5,0.5,hollow
Ni,V,0.5,0.5,hollow
Ni,V,0.5,0.5,top
Ni,Y,0.5,0.5,bridge
Os,Re,0.5,0.5,hollow
Os,Zn,0.5,0.5,top
Pd,Ag,0.75,0.25,bridge
Pd,Cd,0.75,0.25,hollow
Pd,Cu,0.75,0.25,bridge
Pd,Hg,0.75,0.25,hollow
Pd,Hg,0.75,0.25,top
Pd,Zn,0.75,0.25,hollow
Pd,Pt,0.5,0.5,top
Pd,Zn,0.5,0.5,bridge
Pt,Au,0.75,0.25,bridge
Pt,Au,0.75,0.25,top
Pt,Cd,0.75,0.25,top
Ni,V,0.5,0.5,hollow
Ni,V,0.5,0.5,hollow
Ni,W,0.5,0.5,bridge
Os,Tc,0.5,0.5,hollow
Pd,Ag,0.75,0.25,bridge
Pd,Cd,0.75,0.25,hollow
Pd,Cu,0.75,0.25,bridge
Pd,Hg,0.75,0.25,hollow
Pd,Hg,0.75,0.25,top
Pd,Rh,0.75,0.25,hollow
Pt,Ag,0.75,0.25,top
Pt,Au,0.75,0.25,top
Pt,Cd,0.75,0.25,hollow
Pt,Cu,0.75,0.25,bridge
Au,Co,0.75,0.25,bridge
Pt,Cu,0.75,0.25,hollow
Au,Co,0.75,0.25,hollow
Pt,Re,0.75,0.25,top
Pt,Zn,0.75,0.25,bridge
Pt,Rh,0.5,0.5,hollow
Ta,Sc,0.75,0.25,hollow
Tc,Co,0.75,0.25,hollow
Tc,Co,0.75,0.25,hollow
Ti,Co,0.75,0.25,hollow
Ti,Cu,0.75,0.25,hollow
Ti,Ta,0.75,0.25,hollow
W,V,0.75,0.25,hollow
Y,Nb,0.75,0.25,hollow
Au,Co,0.75,0.25,hollow
Pt,Hg,0.75,0.25,hollow
Pt,Ru,0.75,0.25,top
Pt,Zn,0.75,0.25,bridge
Re,Zn,0.5,0.5,bridge
Re,Zn,0.5,0.5,top
Ta,Y,0.5,0.5,hollow
Tc,Co,0.75,0.25,hollow
Tc,Ti,0.5,0.5,hollow
Ti,Cu,0.75,0.25,hollow
Ti,Sc,0.75,0.25,hollow
V,Co,0.75,0.25,hollow
Au,Co,0.75,0.25,hollow
Au,Co,0.75,0.25,hollow
Zn,Hg,0.75,0.25,bridge
Au,Co,0.75,0.25,top
Au,Co,0.75,0.25,top
Au,Ni,0.75,0.25,hollow
Au,Ni,0.75,0.25,hollow
Au,Hg,0.5,0.5,bridge
Au,Pt,0.5,0.5,bridge
Sc,Y,0.5,0.5,hollow
Au,Pt,0.5,0.5,top
Au,Zn,0.5,0.5,bridge
Cd,Co,0.75,0.25,top
Ag,Y,0.75,0.25,top
Tc,Ir,0.75,0.25,hollow
Tc,Ir,0.75,0.25,hollow
Tc,Ir,0.75,0.25,hollow
La,Zr,0.5,0.5,hollow
Tc,Ir,0.75,0.25,hollow
La,Zr,0.5,0.5,hollow
La,Zr,0.5,0.5,hollow
Sc,Ti,0.5,0.5,hollow
W,V,0.75,0.25,top
La,Zr,0.5,0.5,hollow
Cu,Hf,0.75,0.25,top
Mn,Ta,0.5,0.5,hollow
Sc,Ti,0.5,0.5,hollow
Co,Os,0.5,0.5,hollow
Au,Zn,0.5,0.5,hollow
Cu,Re,0.5,0.5,bridge
Sc,Ti,0.5,0.5,hollow
Co,Os,0.5,0.5,hollow
Rh,Zn,0.5,0.5,bridge
Cu,Re,0.5,0.5,hollow
Co,Os,0.5,0.5,hollow
Rh,Zn,0.5,0.5,top
Cu,Re,0.5,0.5,hollow
Co,Os,0.5,0.5,hollow
Rh,Zn,0.5,0.5,top
Co,Sc,0.5,0.5,top
Tc,W,0.5,0.5,hollow
Co,Sc,0.5,0.5,top
Tc,W,0.5,0.5,hollow
Tc,W,0.5,0.5,top
Os,Y,0.5,0.5,~
Tc,W,0.5,0.5,top
La,Ta,0.5,0.5,bridge
Cr,Nb,0.5,0.5,hollow
Mo,Sc,0.5,0.5,hollow
Os,Y,0.5,0.5,top
Cr,Nb,0.5,0.5,top
Mo,Sc,0.5,0.5,hollow
Au,Ni,0.5,0.5,bridge
Co,Hg,0.5,0.5,top
Cr,Nb,0.5,0.5,top
Mo,Sc,0.5,0.5,hollow
Au,Ni,0.5,0.5,hollow
Co,Hg,0.5,0.5,top
Au,Rh,0.5,0.5,bridge
Mo,Sc,0.5,0.5,hollow
Au,Ni,0.5,0.5,hollow
Cr,Nb,0.5,0.5,bridge
Au,Rh,0.5,0.5,hollow
Au,Ni,0.5,0.5,top
Cr,Ag,0.75,0.25,hollow
Co,Sc,0.5,0.5,bridge
Au,Rh,0.5,0.5,top
Re,Zr,0.5,0.5,hollow
Pd,V,0.5,0.5,hollow
Re,Zr,0.5,0.5,bridge
Re,Zr,0.5,0.5,top
Pd,V,0.5,0.5,hollow
La,Nb,0.5,0.5,bridge
Pd,V,0.5,0.5,hollow
Co,Re,0.5,0.5,hollow
Pd,V,0.5,0.5,hollow
Hf,Tc,0.5,0.5,bridge
Co,Re,0.5,0.5,hollow
Ag,Zr,0.75,0.25,top
Hf,Tc,0.5,0.5,hollow
Co,Re,0.5,0.5,hollow
Hf,Tc,0.5,0.5,top
Re,Ta,0.75,0.25,hollow
La,Nb,0.5,0.5,top
Co,Re,0.5,0.5,top
Cu,Rh,0.5,0.5,hollow
Re,Ta,0.75,0.25,hollow
Hf,Tc,0.5,0.5,top
Re,Ta,0.75,0.25,hollow
Cu,Rh,0.5,0.5,hollow
Re,Ta,0.75,0.25,hollow
Pd,Zn,0.5,0.5,hollow
Pd,Zn,0.5,0.5,hollow
Cu,Rh,0.5,0.5,hollow
Cu,Rh,0.5,0.5,hollow
Cu,Cd,0.75,0.25,top
Cu,Cd,0.75,0.25,top
W,Zn,0.5,0.5,bridge
Os,Cd,0.75,0.25,hollow
Cr,Re,0.75,0.25,hollow
Cr,Re,0.75,0.25,hollow
Os,Mo,0.75,0.25,hollow
Cr,Re,0.75,0.25,hollow
W,Rh,0.75,0.25,hollow
Os,Mo,0.75,0.25,hollow
Re,Zn,0.75,0.25,top
Cr,Re,0.75,0.25,hollow
W,Rh,0.75,0.25,hollow
Os,Mo,0.75,0.25,hollow
Re,Zn,0.75,0.25,top
Zr,Zn,0.75,0.25,hollow
W,Rh,0.75,0.25,hollow
Os,Mo,0.75,0.25,hollow
Zr,Zn,0.75,0.25,hollow
Zn,Zr,0.5,0.5,~
Zn,Zr,0.5,0.5,hollow
Au,Co,0.5,0.5,bridge
Zn,Zr,0.5,0.5,top
Au,Co,0.5,0.5,hollow
Ir,Zn,0.5,0.5,bridge
Ir,Zn,0.5,0.5,top
Ir,Zn,0.5,0.5,top
Os,Ta,0.5,0.5,hollow
Au,Co,0.5,0.5,hollow
Cu,Zr,0.5,0.5,~
Ni,Ru,0.5,0.5,bridge
Au,Co,0.5,0.5,hollow
Sc,Ru,0.75,0.25,hollow
Cu,Zr,0.5,0.5,hollow
Os,Ta,0.5,0.5,hollow
Ni,Ru,0.5,0.5,hollow
Au,Co,0.5,0.5,top
Sc,Ru,0.75,0.25,hollow
Cu,Zr,0.5,0.5,top
Os,Ta,0.5,0.5,top
Ni,Ru,0.5,0.5,hollow
Co,Zn,0.5,0.5,bridge
Os,Cd,0.75,0.25,hollow
Sc,Ru,0.75,0.25,hollow
Cu,Zr,0.5,0.5,top
V,Tc,0.75,0.25,top
Re,Ta,0.5,0.5,hollow
Hg,Hf,0.75,0.25,top
Ni,Zn,0.75,0.25,top
Rh,Hf,0.75,0.25,hollow
Ir,Ru,0.5,0.5,hollow
Re,Ta,0.5,0.5,hollow
Cd,Pt,0.5,0.5,bridge
Fe,La,0.5,0.5,bridge
Fe,La,0.5,0.5,top
Ni,Ru,0.5,0.5,hollow
Ir,Ru,0.5,0.5,hollow
Re,Ta,0.5,0.5,top
Fe,La,0.5,0.5,top
Ni,Ru,0.5,0.5,hollow
Co,Zn,0.5,0.5,hollow
Ir,Ru,0.5,0.5,hollow
Ir,Ru,0.5,0.5,hollow
Mo,Os,0.5,0.5,hollow
Cd,Pt,0.5,0.5,top
Co,Zn,0.5,0.5,top
Hf,Ta,0.75,0.25,hollow
Mo,Os,0.5,0.5,hollow
Re,Ti,0.5,0.5,hollow
Hf,Ta,0.75,0.25,hollow
Mo,Os,0.5,0.5,hollow
Re,Ti,0.5,0.5,hollow
Hf,Ta,0.75,0.25,hollow
Mo,Os,0.5,0.5,hollow
Re,Ti,0.5,0.5,top
Cr,Cd,0.75,0.25,top
Hf,Ta,0.75,0.25,hollow
Ag,Fe,0.75,0.25,hollow
Co,Ir,0.5,0.5,bridge
Cr,Mn,0.5,0.5,hollow
La,V,0.5,0.5,bridge
Co,Ir,0.5,0.5,hollow
Hg,Sc,0.75,0.25,top
Co,Ir,0.5,0.5,hollow
Cr,Mn,0.5,0.5,hollow
Co,Ir,0.5,0.5,hollow
Cr,Mn,0.5,0.5,top
Co,Ir,0.5,0.5,hollow
Cr,Mn,0.5,0.5,top
Au,Hg,0.5,0.5,bridge
Co,Ir,0.5,0.5,top
Ti,Y,0.5,0.5,hollow
Ti,Y,0.5,0.5,hollow
Ir,Pt,0.5,0.5,hollow
Ir,Pt,0.5,0.5,hollow
Ti,Y,0.5,0.5,hollow
Ir,Pt,0.5,0.5,hollow
Fe,Ir,0.5,0.5,hollow
Y,Pd,0.75,0.25,hollow
Y,Pd,0.75,0.25,hollow
Mo,Ag,0.75,0.25,hollow
Ti,Y,0.5,0.5,hollow
Mo,Ag,0.75,0.25,hollow
Pd,Tc,0.75,0.25,hollow
Rh,Cd,0.75,0.25,hollow
Ag,Os,0.75,0.25,hollow
Rh,Cd,0.75,0.25,hollow
Au,Ta,0.75,0.25,hollow
Ir,Pt,0.5,0.5,top
Fe,Ta,0.75,0.25,hollow
Cr,Zn,0.5,0.5,bridge
Ir,Pt,0.5,0.5,top
Fe,Ir,0.5,0.5,hollow
Cr,Zn,0.5,0.5,hollow
V,W,0.5,0.5,hollow
Fe,Ir,0.5,0.5,hollow
Cr,Pd,0.75,0.25,hollow
Cr,Zn,0.5,0.5,hollow
V,W,0.5,0.5,hollow
Fe,Ir,0.5,0.5,hollow
Nb,Ni,0.75,0.25,hollow
V,W,0.5,0.5,hollow
Pd,Au,0.75,0.25,top
Fe,Ir,0.5,0.5,top
W,Au,0.75,0.25,hollow
Cu,W,0.75,0.25,hollow
W,Au,0.75,0.25,hollow
Pt,Hg,0.75,0.25,hollow
Co,Mo,0.75,0.25,hollow
Y,Tc,0.75,0.25,hollow
V,W,0.5,0.5,hollow
Pd,Au,0.75,0.25,top
Y,Tc,0.75,0.25,hollow
Tc,Ru,0.75,0.25,hollow
Tc,Ru,0.75,0.25,hollow
Tc,Ru,0.75,0.25,hollow
Cu,Zr,0.75,0.25,hollow
Tc,Ru,0.75,0.25,hollow
Cu,Zr,0.75,0.25,hollow
Co,Pd,0.75,0.25,hollow
Cu,Zr,0.75,0.25,hollow
Co,Pd,0.75,0.25,hollow
Zn,Zr,0.75,0.25,hollow
Cu,Zr,0.75,0.25,hollow
Co,Pd,0.75,0.25,hollow
Zn,Zr,0.75,0.25,hollow
Co,Pd,0.75,0.25,hollow
Zn,Zr,0.75,0.25,hollow
Ag,La,0.75,0.25,hollow
Tc,Au,0.75,0.25,hollow
Ag,La,0.75,0.25,hollow
Tc,Au,0.75,0.25,hollow
Rh,Os,0.75,0.25,hollow
Zn,Zr,0.75,0.25,hollow
Ag,La,0.75,0.25,hollow
Cr,Zn,0.75,0.25,hollow
Rh,Os,0.75,0.25,hollow
La,Ru,0.75,0.25,hollow
Cr,Zn,0.75,0.25,hollow
Rh,Os,0.75,0.25,hollow
La,Ru,0.75,0.25,hollow
W,Re,0.75,0.25,hollow
Rh,Os,0.75,0.25,hollow
W,Re,0.75,0.25,hollow
Ru,Au,0.75,0.25,hollow
W,Re,0.75,0.25,hollow
Ru,Au,0.75,0.25,hollow
Mo,Tc,0.75,0.25,hollow
V,Rh,0.75,0.25,hollow
W,Re,0.75,0.25,hollow
V,Rh,0.75,0.25,hollow
Cr,Os,0.75,0.25,hollow
Os,Pd,0.75,0.25,hollow
Rh,Y,0.75,0.25,hollow
Pt,Ru,0.75,0.25,hollow
Os,Pd,0.75,0.25,hollow
Rh,Y,0.75,0.25,hollow
Pt,Ru,0.75,0.25,hollow
Pt,Ru,0.75,0.25,hollow
Tc,La,0.75,0.25,hollow
Pt,Ru,0.75,0.25,hollow
Os,Ta,0.75,0.25,hollow
Cd,Hg,0.5,0.5,bridge
La,Cu,0.75,0.25,hollow
Zr,Ti,0.75,0.25,hollow
Pt,Rh,0.75,0.25,hollow
Pt,Rh,0.75,0.25,hollow
La,Cu,0.75,0.25,hollow
Zr,Ti,0.75,0.25,hollow
Pt,Rh,0.75,0.25,hollow
Ir,Ta,0.75,0.25,hollow
Zr,Ti,0.75,0.25,hollow
Cd,Hg,0.5,0.5,top
W,Pd,0.75,0.25,hollow
Ir,Ta,0.75,0.25,hollow
Zr,Ti,0.75,0.25,hollow
Cd,Mo,0.5,0.5,bridge
Ir,Ta,0.75,0.25,hollow
Au,Rh,0.75,0.25,hollow
Ir,Au,0.75,0.25,hollow
Ir,Ta,0.75,0.25,hollow
Au,Rh,0.75,0.25,hollow
Ir,Au,0.75,0.25,hollow
Au,Rh,0.75,0.25,hollow
Au,Rh,0.75,0.25,hollow
Ag,Mo,0.5,0.5,bridge
Ag,Mo,0.5,0.5,hollow
Hf,V,0.75,0.25,hollow
Ag,Zn,0.75,0.25,hollow
W,Pt,0.75,0.25,hollow
La,Nb,0.75,0.25,top
Ag,Mo,0.5,0.5,top
Mn,Re,0.5,0.5,hollow
Tc,Nb,0.75,0.25,hollow
Mn,Re,0.5,0.5,hollow
Tc,Nb,0.75,0.25,hollow
Mn,Re,0.5,0.5,hollow
Tc,Nb,0.75,0.25,hollow
Mn,Re,0.5,0.5,hollow
Tc,Nb,0.75,0.25,hollow
Hf,Re,0.5,0.5,bridge
Mn,Re,0.5,0.5,top
Cu,La,0.5,0.5,top
Ti,Pt,0.75,0.25,hollow
Hf,Re,0.5,0.5,hollow
Ti,Pt,0.75,0.25,hollow
Zn,Pt,0.75,0.25,hollow
Hf,Re,0.5,0.5,top
Cu,La,0.5,0.5,bridge
Ti,Pt,0.75,0.25,hollow
Zn,Pt,0.75,0.25,hollow
Mo,Fe,0.75,0.25,hollow
Ru,Ag,0.75,0.25,hollow
Ti,Pt,0.75,0.25,hollow
Ru,Ag,0.75,0.25,hollow
Cu,Ru,0.75,0.25,hollow
La,Cd,0.75,0.25,hollow
Hf,Re,0.5,0.5,top
Au,Mo,0.5,0.5,bridge
Cu,Ru,0.75,0.25,hollow
Au,Mo,0.5,0.5,bridge
Cu,Ru,0.75,0.25,hollow
Au,Mo,0.5,0.5,top
Cu,Ru,0.75,0.25,hollow
Au,Mo,0.5,0.5,top
Zn,Y,0.75,0.25,hollow
Zn,Y,0.75,0.25,hollow
Co,Re,0.75,0.25,hollow
Os,Cr,0.75,0.25,hollow
Zn,Y,0.75,0.25,hollow
Co,Re,0.75,0.25,hollow
Zn,Y,0.75,0.25,hollow
Co,Re,0.75,0.25,hollow
Cr,Tc,0.5,0.5,hollow
Pd,Zr,0.75,0.25,top
Cr,Tc,0.5,0.5,hollow
Mn,W,0.5,0.5,top
Mo,Re,0.5,0.5,hollow
Cr,Tc,0.5,0.5,top
Mn,W,0.5,0.5,top
Mo,Re,0.5,0.5,hollow
Cr,Zr,0.75,0.25,top
Cr,Tc,0.5,0.5,top
Ni,Os,0.5,0.5,hollow
Ni,Os,0.5,0.5,hollow
Mo,Re,0.5,0.5,hollow
Ni,Os,0.5,0.5,hollow
Ni,Os,0.5,0.5,top
Zr,Mo,0.75,0.25,hollow
Fe,W,0.75,0.25,hollow
Y,Cd,0.75,0.25,hollow
Ru,Rh,0.75,0.25,hollow
Ru,Rh,0.75,0.25,hollow
Au,Ir,0.75,0.25,hollow
Ru,Rh,0.75,0.25,hollow
Ti,V,0.75,0.25,hollow
Au,Ir,0.75,0.25,hollow
Mo,Re,0.5,0.5,hollow
Ti,Ta,0.75,0.25,hollow
Ru,Rh,0.75,0.25,hollow
Ti,V,0.75,0.25,hollow
Mo,Re,0.5,0.5,top
Ti,Ta,0.75,0.25,hollow
Ti,V,0.75,0.25,hollow
Pd,Y,0.75,0.25,hollow
Ti,Ta,0.75,0.25,hollow
Pd,Y,0.75,0.25,hollow
Mo,Re,0.5,0.5,top
La,Re,0.75,0.25,hollow
La,Re,0.75,0.25,hollow
Mo,Nb,0.75,0.25,top
La,Au,0.75,0.25,hollow
La,Au,0.75,0.25,hollow
Ta,Au,0.75,0.25,hollow
Ta,Au,0.75,0.25,hollow
Cu,Au,0.75,0.25,hollow
Cu,Au,0.75,0.25,hollow
Cu,Au,0.75,0.25,hollow
Cu,Au,0.75,0.25,hollow
Mo,Au,0.75,0.25,hollow
Os,Sc,0.75,0.25,hollow
V,La,0.75,0.25,hollow
Ni,Ir,0.75,0.25,hollow
V,Zn,0.75,0.25,hollow
Mo,Au,0.75,0.25,hollow
Cr,Fe,0.5,0.5,hollow
Zr,Cd,0.75,0.25,hollow
Y,Nb,0.75,0.25,hollow
Pt,Ir,0.75,0.25,hollow
Cr,Fe,0.5,0.5,hollow
Zr,Cd,0.75,0.25,hollow
V,Zn,0.75,0.25,hollow
La,Sc,0.75,0.25,hollow
Y,Nb,0.75,0.25,hollow
Pt,Ir,0.75,0.25,hollow
Cr,Fe,0.5,0.5,hollow
La,Sc,0.75,0.25,hollow
Y,Nb,0.75,0.25,hollow
Pt,Ir,0.75,0.25,hollow
Cr,Fe,0.5,0.5,top
Au,La,0.5,0.5,~
La,Sc,0.75,0.25,hollow
Pt,Ir,0.75,0.25,hollow
Au,La,0.5,0.5,bridge
Os,Zr,0.5,0.5,bridge
Cu,Ta,0.75,0.25,hollow
La,Sc,0.75,0.25,hollow
Au,La,0.5,0.5,bridge
Os,Zr,0.5,0.5,bridge
Ir,Re,0.5,0.5,hollow
Cd,Sc,0.5,0.5,~
Ir,Re,0.5,0.5,hollow
Cd,Sc,0.5,0.5,bridge
Cu,Os,0.75,0.25,hollow
Ir,Re,0.5,0.5,hollow
Os,Zr,0.5,0.5,top
Y,W,0.75,0.25,hollow
Ir,Re,0.5,0.5,hollow
Re,Cr,0.75,0.25,top
Os,Zr,0.5,0.5,top
Os,V,0.5,0.5,hollow
Co,Y,0.5,0.5,bridge
Os,V,0.5,0.5,hollow
Ta,Y,0.5,0.5,hollow
Ta,Y,0.5,0.5,hollow
Fe,Tc,0.5,0.5,hollow
Fe,Tc,0.5,0.5,hollow
Hg,Mn,0.5,0.5,bridge
Co,Y,0.5,0.5,top
Hg,Mn,0.5,0.5,top
Co,Y,0.5,0.5,top
Ir,Tc,0.75,0.25,hollow
La,Pd,0.5,0.5,bridge
Ir,Tc,0.75,0.25,hollow
Ir,Tc,0.75,0.25,hollow
Ir,Tc,0.75,0.25,hollow
La,Pd,0.5,0.5,hollow
V,Zr,0.75,0.25,hollow
Ru,Re,0.75,0.25,hollow
Re,Tc,0.75,0.25,hollow
V,Zr,0.75,0.25,hollow
Ru,Re,0.75,0.25,hollow
Re,Tc,0.75,0.25,hollow
V,Zr,0.75,0.25,hollow
La,Pd,0.5,0.5,top
Pd,Hf,0.75,0.25,hollow
Ru,Re,0.75,0.25,hollow
Re,Tc,0.75,0.25,hollow
La,Pd,0.5,0.5,top
Pd,Hf,0.75,0.25,hollow
Ru,Re,0.75,0.25,hollow
Re,Tc,0.75,0.25,hollow
Au,Nb,0.5,0.5,bridge
Pd,Hf,0.75,0.25,hollow
Cu,Zn,0.75,0.25,hollow
Cu,Mo,0.75,0.25,hollow
Cu,La,0.75,0.25,hollow
Pd,Hf,0.75,0.25,hollow
Cu,Zn,0.75,0.25,hollow
Cu,Mo,0.75,0.25,hollow
Cu,La,0.75,0.25,hollow
Cu,Zn,0.75,0.25,hollow
Cu,Zn,0.75,0.25,hollow
Zn,Ir,0.75,0.25,hollow
V,Cd,0.75,0.25,hollow
Zn,Ir,0.75,0.25,hollow
Ni,Rh,0.75,0.25,hollow
V,Cd,0.75,0.25,hollow
Ni,Sc,0.75,0.25,hollow
La,Os,0.75,0.25,hollow
La,Os,0.75,0.25,hollow
Re,Sc,0.75,0.25,hollow
Re,Sc,0.75,0.25,hollow
Cr,Hg,0.75,0.25,hollow
Re,Sc,0.75,0.25,hollow
Cr,Hg,0.75,0.25,hollow
Mo,Ni,0.75,0.25,hollow
Au,Nb,0.5,0.5,top
Ir,W,0.5,0.5,hollow
Au,Ru,0.75,0.25,hollow
Pd,Ta,0.5,0.5,bridge
Ir,W,0.5,0.5,hollow
Ti,Hg,0.75,0.25,hollow
Os,Pt,0.75,0.25,hollow
Re,V,0.75,0.25,hollow
Ti,Hg,0.75,0.25,hollow
Os,Pt,0.75,0.25,hollow
Au,Ru,0.75,0.25,hollow
Re,V,0.75,0.25,hollow
Au,Ru,0.75,0.25,hollow
Zr,Cr,0.75,0.25,top
Re,V,0.75,0.25,hollow
Au,Ru,0.75,0.25,hollow
Nb,V,0.5,0.5,hollow
Pd,Ta,0.5,0.5,hollow
Ir,W,0.5,0.5,hollow
Fe,Ta,0.5,0.5,top
Nb,V,0.5,0.5,hollow
Fe,Ta,0.5,0.5,bridge
Fe,Ta,0.5,0.5,top
Pd,Ta,0.5,0.5,hollow
Nb,V,0.5,0.5,hollow
Pd,Ta,0.5,0.5,hollow
Ir,W,0.5,0.5,hollow
Ru,Zn,0.75,0.25,hollow
Nb,V,0.5,0.5,hollow
Ru,Zn,0.75,0.25,hollow
Nb,Zn,0.75,0.25,hollow
Cd,Ir,0.75,0.25,hollow
W,Y,0.75,0.25,hollow
Co,Sc,0.75,0.25,hollow
Cd,Ir,0.75,0.25,hollow
La,Rh,0.75,0.25,hollow
La,Rh,0.75,0.25,hollow
Y,Mn,0.75,0.25,hollow
Au,Ir,0.5,0.5,bridge
Ni,Zn,0.5,0.5,bridge
Nb,Zn,0.5,0.5,hollow
La,W,0.5,0.5,bridge
Nb,Zn,0.5,0.5,hollow
Nb,Au,0.75,0.25,hollow
Nb,Zn,0.5,0.5,hollow
Au,Ir,0.5,0.5,top
Nb,Au,0.75,0.25,hollow
Ti,Tc,0.75,0.25,hollow
Cu,Mn,0.75,0.25,hollow
Hf,Sc,0.75,0.25,hollow
Ti,Tc,0.75,0.25,hollow
Cd,Os,0.75,0.25,hollow
Hf,Sc,0.75,0.25,hollow
Y,Ti,0.75,0.25,hollow
Ti,Tc,0.75,0.25,hollow
Hf,Sc,0.75,0.25,hollow
Y,Ti,0.75,0.25,hollow
Hf,Sc,0.75,0.25,hollow
Y,Ti,0.75,0.25,hollow
Os,V,0.75,0.25,hollow
Hf,Zr,0.75,0.25,hollow
Y,Ti,0.75,0.25,hollow
Os,V,0.75,0.25,hollow
V,Re,0.75,0.25,hollow
Hf,Zr,0.75,0.25,hollow
Os,V,0.75,0.25,hollow
V,Re,0.75,0.25,hollow
Hf,Zr,0.75,0.25,hollow
Pd,Ag,0.75,0.25,hollow
Ru,Os,0.75,0.25,hollow
Os,V,0.75,0.25,hollow
Hf,Zr,0.75,0.25,hollow
Pd,Ag,0.75,0.25,hollow
Pd,Ag,0.75,0.25,hollow
Cr,Mo,0.5,0.5,hollow
Cr,Mo,0.5,0.5,hollow
Cr,Mo,0.5,0.5,hollow
Fe,Ti,0.75,0.25,hollow
Cr,Mo,0.5,0.5,hollow
Hf,Ti,0.75,0.25,hollow
Hf,Ti,0.75,0.25,hollow
Au,Sc,0.75,0.25,hollow
Hf,Ti,0.75,0.25,hollow
Au,Sc,0.75,0.25,hollow
Hf,La,0.5,0.5,hollow
Hf,Ti,0.75,0.25,hollow
Au,Sc,0.75,0.25,hollow
Co,W,0.75,0.25,hollow
Cr,Ir,0.75,0.25,top
Au,Sc,0.75,0.25,hollow
Au,Os,0.75,0.25,hollow
Cr,Ir,0.75,0.25,top
Ir,Zn,0.75,0.25,hollow
Ru,Y,0.75,0.25,hollow
Ir,Zn,0.75,0.25,hollow
Ru,Y,0.75,0.25,hollow
La,Tc,0.5,0.5,bridge
Cr,La,0.75,0.25,hollow
Ta,W,0.75,0.25,hollow
Cr,La,0.75,0.25,hollow
Ta,W,0.75,0.25,hollow
Ta,W,0.75,0.25,hollow
Cu,Tc,0.75,0.25,hollow
Ta,W,0.75,0.25,hollow
Rh,Ti,0.5,0.5,hollow
W,Ir,0.75,0.25,hollow
Mo,Pt,0.5,0.5,hollow
Mo,Pt,0.5,0.5,hollow
Rh,Ti,0.5,0.5,hollow
Pd,Cr,0.75,0.25,hollow
Co,Cd,0.75,0.25,hollow
Ta,Ag,0.75,0.25,hollow
