Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,ads_energy
Os,Pd,0.75,0.25,1,0.33622862104405726
Ir,Pd,0.75,0.25,2,-0.2455578410581154
Ir,Pd,0.75,0.25,2,-0.2161110419574186
Ir,Pd,0.75,0.25,1,-0.33795014925905775
Ir,Pd,0.75,0.25,1,0.1803256230423642
Ir,Cd,0.75,0.25,3,-0.337074078654922
Ir,Cd,0.75,0.25,3,-0.43097131255760246
Ir,Cd,0.75,0.25,1,-0.2908054742574393
Ir,Cd,0.75,0.25,1,1.2637725865434106
Ru,Os,0.75,0.25,2,-0.24736943885633877
Ir,Ru,0.5,0.5,2,-0.11359120086032704
Ir,Ru,0.5,0.5,2,-0.14855973386053734
Ru,Os,0.75,0.25,3,-0.3631057130578199
Ru,Rh,0.75,0.25,2,-0.2352118006592434
Ru,Rh,0.75,0.25,2,-0.16353837615949374
Rh,Ru,0.5,0.5,2,-0.09471656865841283
Co,Ru,0.5,0.5,2,-0.22223156245942732
Co,Ru,0.5,0.5,2,-0.29026560045801375
Ru,Fe,0.75,0.25,2,-0.23880343125981085
Ru,Fe,0.75,0.25,2,-0.2244962298636608
Ru,Fe,0.75,0.25,3,-0.4449698007583436
Ir,Ru,0.75,0.25,2,-0.13562970055770052
Ir,Ru,0.75,0.25,3,-0.1517544863590672
Rh,La,0.75,0.25,2,-0.25932081465631995
Rh,La,0.75,0.25,2,-0.652260816855204
Rh,Sc,0.75,0.25,2,-0.5802850739555367
Rh,Zr,0.75,0.25,3,-0.6362350805565882
Rh,Sc,0.75,0.25,3,-0.34908028555852866
Rh,Zr,0.75,0.25,3,-0.37714216115907107
Rh,Hf,0.75,0.25,3,-0.6121823941602713
Rh,Ti,0.75,0.25,3,-0.3614319408579547
Rh,Hf,0.75,0.25,3,-0.36967889495915074
Ru,La,0.75,0.25,2,-0.2613892880608262
Rh,Ti,0.75,0.25,3,-0.5688507143558752
Rh,Re,0.75,0.25,2,-0.2128199610587842
Rh,Cr,0.75,0.25,3,-0.32531944126000667
Rh,Re,0.75,0.25,2,-0.2909262928578471
Rh,Ta,0.75,0.25,3,-0.5723122744593354
Rh,Tc,0.75,0.25,3,-0.29746831766075843
Ru,La,0.75,0.25,2,-0.6323063009612895
Rh,Ta,0.75,0.25,3,-0.3401720947576621
Rh,Tc,0.75,0.25,3,-0.3736218244584677
Rh,Os,0.75,0.25,2,0.007907220039697904
Rh,Os,0.75,0.25,2,-0.14444469235874635
Rh,Os,0.75,0.25,2,-0.2685457459583347
Rh,Ru,0.75,0.25,2,-0.21897136655658755
Rh,Ir,0.75,0.25,2,-0.13877628895622252
Rh,Ni,0.75,0.25,2,-0.1425491473628142
Rh,Ni,0.75,0.25,2,-0.1805065788566651
Rh,Ir,0.75,0.25,2,-0.2321807246580363
Rh,Ni,0.75,0.25,3,-0.34607941406190434
Rh,Ir,0.75,0.25,3,-0.239029285755322
Ru,Sc,0.75,0.25,2,-0.5850383584574672
Ru,Sc,0.75,0.25,3,-0.5846727735579123
Ru,Sc,0.75,0.25,3,-0.4768275285595962
Co,Rh,0.5,0.5,2,-0.18673199925885342
Rh,Mn,0.75,0.25,2,-0.26263162375741445
Rh,Pt,0.75,0.25,2,-0.17161430675966471
Rh,Mn,0.75,0.25,3,-0.3174666439581131
Pt,Rh,0.5,0.5,2,-0.18310240875777595
Rh,Mn,0.75,0.25,3,-0.2523506187598912
Co,Rh,0.5,0.5,2,-0.2364591705618011
Pt,Rh,0.5,0.5,2,-0.1621443369576525
Pt,Rh,0.5,0.5,2,-0.16415144865729303
Rh,Fe,0.75,0.25,2,-0.23099893426021367
Pt,Rh,0.5,0.5,3,-0.29188998395963495
Rh,Fe,0.75,0.25,2,-0.23975623786006395
Ru,Ir,0.75,0.25,2,-0.18709785625739528
Ru,Zr,0.75,0.25,3,-0.6428056773611104
Rh,Fe,0.75,0.25,3,-0.32335477925786904
Pt,Rh,0.5,0.5,3,-0.22400914605802313
Mn,Rh,0.5,0.5,2,1.4819184956441234
Rh,Pd,0.75,0.25,2,-0.19931780856038017
Pd,Rh,0.5,0.5,2,-0.05915360285777638
Pd,Rh,0.5,0.5,3,-0.3482116981603838
Pd,Rh,0.5,0.5,3,-0.27981139496020546
Rh,Pd,0.75,0.25,2,-0.12629918925719608
Ru,Zr,0.75,0.25,3,-0.5280028896586089
Au,Rh,0.5,0.5,3,-0.23964780055663937
Fe,Ru,0.5,0.5,3,-0.35683253665681036
Fe,Ru,0.5,0.5,1,0.2898496744392389
Mn,Rh,0.5,0.5,3,1.3524226491436195
Rh,Cd,0.75,0.25,1,0.007758373642928973
Rh,Hg,0.75,0.25,3,-0.3636023207572805
Cu,Rh,0.5,0.5,2,-0.30554846596257335
Ru,Hf,0.75,0.25,3,-0.6367160417566708
Ni,Fe,0.75,0.25,2,-0.14723195435269076
Ni,Fe,0.75,0.25,3,-0.29955924035945714
Cd,Rh,0.5,0.5,0,0.5107976758418147
Fe,Ni,0.5,0.5,2,0.0033572044422101044
Fe,Ni,0.5,0.5,3,-0.11529095985949311
Ni,Mn,0.75,0.25,3,-0.4143813481559562
Ni,Mn,0.75,0.25,3,-0.3566280431614075
Rh,Cu,0.75,0.25,2,-0.13684237595495574
Ni,Pt,0.75,0.25,3,-0.2381368884589108
Ni,Pd,0.75,0.25,2,-0.1012438992538307
Ni,Pd,0.75,0.25,3,-0.37625398155702783
Ni,Pd,0.75,0.25,3,-0.2474356985539714
Ru,Ti,0.75,0.25,3,-0.5643566181560971
Ru,Ti,0.75,0.25,3,-0.5193055871559125
Ni,Pd,0.5,0.5,3,-0.2947020083583709
Ni,Pd,0.5,0.5,3,-0.21192797185992163
Ni,Au,0.75,0.25,2,0.0995648209436979
Ni,Pd,0.5,0.5,3,-0.2374908901610695
Ni,Au,0.75,0.25,3,-0.374049859455198
Ni,Au,0.75,0.25,3,-0.278790287752571
Au,Ni,0.5,0.5,2,-0.17405843316279856
Ag,Rh,0.5,0.5,2,-0.11488387756159568
Ni,Ag,0.75,0.25,2,0.07249847374717433
Ni,Ag,0.75,0.25,3,-0.3702986341586154
Ag,Ni,0.5,0.5,2,-0.291363443763629
Ag,Ni,0.5,0.5,3,0.02468725593737986
Ni,Cu,0.75,0.25,2,-0.08206191455880685
Cu,Ni,0.5,0.5,2,-0.2802733081543636
Ag,Ni,0.5,0.5,2,-0.2907500991632048
Ni,Cu,0.75,0.25,3,-0.372628881063946
Ni,Cu,0.75,0.25,3,-0.3829591386592881
Hg,Ni,0.5,0.5,2,-0.14624350086430127
Ag,Rh,0.5,0.5,2,0.5803590888399697
Ni,Cd,0.75,0.25,3,-0.40326699455815174
Ag,Rh,0.5,0.5,2,-0.2892291188609022
Fe,Ru,0.5,0.5,2,-0.28166408205922266
Fe,Ru,0.5,0.5,2,-0.25185822875843655
Fe,Ru,0.5,0.5,2,-0.17545655416230943
Cd,Ni,0.5,0.5,2,-0.3147166614571404
Ru,Ta,0.75,0.25,3,-0.5191985104565617
Rh,Zn,0.75,0.25,2,-0.20349856545996658
Rh,Zn,0.75,0.25,3,-0.38352323065825544
Rh,Zn,0.75,0.25,3,-0.25544686605914535
Ru,Mn,0.75,0.25,2,-0.31275512885528656
Ru,Mn,0.75,0.25,2,-0.2809350889574205
Ru,Mn,0.75,0.25,3,-0.3961298566564153
Co,Ag,0.75,0.25,2,0.11770365724171938
Ag,Co,0.5,0.5,2,0.5027433783407389
Ni,Zn,0.75,0.25,3,-0.3899387225601174
Co,Hg,0.75,0.25,2,0.09386580474622974
Co,Hg,0.75,0.25,1,1.1481231166408463
Co,Hg,0.75,0.25,3,-0.3066649490565112
Co,Cd,0.75,0.25,3,-0.3392448668591612
Co,Hg,0.75,0.25,1,0.26567984304077186
Co,Hg,0.5,0.5,2,-0.22145889525469897
Co,Cu,0.75,0.25,2,-0.03416021885547593
Co,Zn,0.75,0.25,1,1.0343155853416022
Rh,Zn,0.5,0.5,0,0.18793242944323651
Ag,Ru,0.5,0.5,2,-0.19462370865855405
Ag,Zr,0.5,0.5,3,-0.6989389527579704
Ag,Ru,0.5,0.5,3,-0.10264569375337373
Ir,Ag,0.75,0.25,3,-0.3383711092528472
Ir,Ag,0.75,0.25,3,-0.34590240395388605
Ag,Mo,0.5,0.5,3,-0.6029482109579192
Au,Cd,0.75,0.25,2,0.47175451024398285
Au,Cd,0.75,0.25,2,0.46604801094238724
Au,Cu,0.75,0.25,2,0.36349687664281305
Au,Zn,0.75,0.25,2,0.4564876993399878
Au,Zn,0.75,0.25,2,0.4565423942413247
Au,Zn,0.75,0.25,2,0.5879431736402978
Au,Zn,0.75,0.25,1,0.5354906462389692
Au,Cu,0.5,0.5,2,0.40334182573954536
Au,Cu,0.5,0.5,3,0.31719548253843755
Au,Mn,0.5,0.5,2,2.7355318480413473
Au,Nb,0.5,0.5,3,0.2173407243435861
Au,Hg,0.75,0.25,3,0.37979200574503125
Au,Hg,0.75,0.25,1,0.5978141031419284
Au,Ti,0.5,0.5,3,0.3573743152419695
Au,V,0.5,0.5,3,0.21687949134232554
Au,Zn,0.5,0.5,2,0.524432211947925
Au,Zn,0.5,0.5,2,0.5423672350453046
Co,Ni,0.5,0.5,3,-0.31523599086264653
Co,Re,0.5,0.5,3,-0.5172312634594789
Co,Zr,0.5,0.5,2,-0.4257675435610224
Cr,Mo,0.75,0.25,3,-1.300261283558001
Cr,Rh,0.75,0.25,3,-0.6030507978566391
Cr,Rh,0.75,0.25,3,-0.5798252014564866
Cr,Fe,0.5,0.5,3,-0.6157319831536086
Cr,W,0.5,0.5,3,-0.6792003590589673
Cu,Hg,0.75,0.25,2,0.5614746605433822
Cu,Hg,0.75,0.25,1,0.6181088974490478
Cu,Hg,0.75,0.25,1,1.0344618464451116
Cu,Pt,0.75,0.25,1,-0.13441253545803988
Cu,Hg,0.5,0.5,1,0.558809849740129
Cu,Pd,0.5,0.5,2,-0.06499166925547684
Cu,Pd,0.5,0.5,2,-0.17395625445985274
Cu,Hg,0.5,0.5,2,0.15185108673998116
Cu,Hg,0.5,0.5,1,1.109887992942305
Cu,Pt,0.5,0.5,2,-0.17998194326261796
Fe,Ag,0.75,0.25,3,0.9072695796430992
Fe,Ag,0.75,0.25,3,0.8750464030463547
Fe,Cd,0.75,0.25,3,0.7984746574448138
Fe,Cu,0.75,0.25,2,0.7411463941471368
Fe,Cu,0.75,0.25,3,0.4117943619430946
Fe,Cu,0.75,0.25,3,0.3254214839480767
Fe,Zn,0.75,0.25,2,0.8506460912404066
Fe,Zn,0.75,0.25,3,0.18116250923870325
Ag,Fe,0.5,0.5,2,-0.3020259523536595
Ag,Fe,0.5,0.5,3,0.019930842042441554
Fe,Zn,0.75,0.25,3,0.3159396771380045
Fe,Nb,0.5,0.5,2,-0.47461565125829
Fe,Nb,0.5,0.5,1,-0.15002220975927116
Fe,Ru,0.5,0.5,3,-0.3315928896617777
Fe,Ru,0.5,0.5,3,-0.3861679051614999
Ag,Mn,0.5,0.5,2,2.4483409979448254
Ag,Mo,0.5,0.5,3,-0.2514484252596674
Co,Cr,0.5,0.5,2,-0.47742236935934557
Co,Cr,0.5,0.5,3,-0.8218424332580696
Co,Mo,0.5,0.5,2,-0.5217303935632742
Co,Pt,0.5,0.5,2,0.0034144844403556363
Cr,Tc,0.5,0.5,2,-0.5000890439614238
Cu,Co,0.75,0.25,3,0.19551528973627796
Cu,Co,0.75,0.25,3,-0.2800658213591021
Cu,Mn,0.5,0.5,2,1.2575811803408499
Cu,Pt,0.5,0.5,2,-0.18044957095750647
Fe,Ru,0.5,0.5,2,-0.17400251385603838
Fe,Sc,0.5,0.5,2,-0.672967455458064
Fe,Sc,0.5,0.5,3,-0.7445868654567391
Fe,Tc,0.5,0.5,3,-0.5076622441619918
Fe,Ti,0.5,0.5,2,-0.671498448954452
Fe,Ti,0.5,0.5,3,-0.7963744827565904
Fe,V,0.5,0.5,2,-0.8346255250607726
Fe,V,0.5,0.5,3,-0.9635726540609255
Fe,V,0.5,0.5,3,-0.9640035462607273
Fe,W,0.5,0.5,2,-0.5197683167561706
Fe,W,0.5,0.5,3,-0.70616888136189
Fe,W,0.5,0.5,3,-0.6651620061593064
Co,Mo,0.5,0.5,2,-0.48317703285917446
Cr,Co,0.75,0.25,3,-0.8427703004553848
Cu,Co,0.75,0.25,3,-0.06977148486382134
Cu,Co,0.75,0.25,3,-0.23336605256096732
Cu,Co,0.75,0.25,1,0.13123410973733485
Cu,Pt,0.5,0.5,2,-0.30249711745906893
Cu,Pt,0.5,0.5,3,-0.19923236476367379
Fe,Ru,0.5,0.5,3,-0.34153348035667364
Fe,Sc,0.5,0.5,3,-0.7481535975593658
Fe,Ti,0.5,0.5,2,-0.6711943617546865
Fe,Ti,0.5,0.5,3,-0.7972667440544399
Fe,Ti,0.5,0.5,1,0.6024589503440723
Fe,V,0.5,0.5,3,-0.8347939635595765
Fe,W,0.5,0.5,3,-0.6674115712584978
Fe,Y,0.5,0.5,2,-0.5919032463561678
Hf,Co,0.75,0.25,2,-0.7815581563581588
Co,Mo,0.5,0.5,3,-0.5932031341571644
Cr,Co,0.75,0.25,3,-0.8280758810569466
Fe,Sc,0.5,0.5,2,-0.6724135677568199
Hf,Co,0.75,0.25,3,-1.0161517144578909
Co,Mo,0.5,0.5,3,-0.6301261248581511
Cr,Co,0.75,0.25,1,-0.005125264156021103
Hf,Tc,0.75,0.25,3,-1.1359518727576585
Hf,Mo,0.5,0.5,3,-0.8424821318576221
Hg,Pd,0.75,0.25,3,1.3243513855423146
Hg,Pd,0.5,0.5,2,0.13630345444201453
Hg,Pd,0.5,0.5,2,0.14272561314012933
Ir,Co,0.75,0.25,2,-0.18748657096054444
Ir,Co,0.75,0.25,3,-0.21032467725942183
Ir,Co,0.75,0.25,1,0.23581589343760356
Ir,Pt,0.5,0.5,3,-0.21681690515740115
La,Zn,0.5,0.5,0,-0.22568264615890143
Mn,Co,0.75,0.25,3,-0.6750926645536026
Co,Mo,0.5,0.5,3,-0.7002693172607621
Ir,Co,0.75,0.25,1,-0.21329466375661355
Ir,Ta,0.5,0.5,3,-0.3617395655591906
Mn,Co,0.75,0.25,3,-0.5722582598527595
Mn,Ni,0.75,0.25,2,-0.26101485946034586
Co,Mo,0.5,0.5,1,0.19106405154255413
Mn,Ni,0.75,0.25,3,-0.6458247804611972
Mn,Ni,0.75,0.25,3,-0.565873652957606
Mn,Sc,0.5,0.5,2,-0.6537456060604825
Mn,Sc,0.5,0.5,3,-0.7527115043585297
Mn,Ti,0.5,0.5,2,-0.7160957301593669
Mn,Ti,0.5,0.5,2,-0.5051002923564454
Mn,Ti,0.5,0.5,3,-0.8175842598566021
Mn,Ti,0.5,0.5,1,-0.17202642315803018
Mn,Ti,0.5,0.5,1,0.5750422565406836
Mn,V,0.5,0.5,2,-1.3322428229575678
Mn,V,0.5,0.5,3,-1.38497957335764
Mn,V,0.5,0.5,3,-1.3386776349607032
Mn,V,0.5,0.5,3,-1.3852587621576902
Mn,V,0.5,0.5,1,-0.29779811965906333
Mn,W,0.5,0.5,3,-0.4944142458579961
Mn,W,0.5,0.5,3,-0.6618876602578609
Mn,Zn,0.5,0.5,2,-0.16616794826310866
Mo,Co,0.75,0.25,1,0.0526464085424152
Mo,Ni,0.5,0.5,3,-0.4308658684594491
Mo,Ti,0.5,0.5,3,-0.8315826120551435
Nb,Pd,0.75,0.25,3,-0.5618485449585648
Nb,Pt,0.75,0.25,3,-0.5135018071586899
Nb,Pt,0.75,0.25,3,-0.5507386811577533
Ni,Cr,0.75,0.25,3,-0.5695141278547169
Ni,Os,0.5,0.5,3,-0.295499574057402
Ni,Pt,0.5,0.5,3,-0.17447218225331085
Ni,Pt,0.5,0.5,3,-0.2005281708543123
Ni,Ta,0.5,0.5,3,-0.4311873709584404
Mo,Co,0.75,0.25,3,-0.8436342618578863
Ni,Ti,0.5,0.5,2,-0.2849444142620712
Ni,Ti,0.5,0.5,2,-0.6015696822641701
Ni,Ti,0.5,0.5,3,-0.6018371701638614
Ni,Ti,0.5,0.5,1,0.19402859573986575
Ni,V,0.5,0.5,3,-0.5147913546597636
Ni,V,0.5,0.5,3,-0.6753489958564103
Ni,V,0.5,0.5,1,0.25840256654285554
Ni,Y,0.5,0.5,2,-0.4042298692574775
Os,Re,0.5,0.5,3,-0.3810259059564203
Os,Zn,0.5,0.5,1,-0.17673780205856815
Pd,Ag,0.75,0.25,2,0.11057332233852435
Pd,Cd,0.75,0.25,3,-0.28096134795757166
Pd,Cu,0.75,0.25,2,-0.06793213136458576
Pd,Hg,0.75,0.25,3,-0.28269022336004923
Pd,Hg,0.75,0.25,1,0.31365324054152666
Pd,Zn,0.75,0.25,3,-0.20045565256347686
Pd,Pt,0.5,0.5,1,0.171278246140929
Pd,Zn,0.5,0.5,2,0.057457517236827016
Pt,Au,0.75,0.25,2,-0.22604265285824
Pt,Au,0.75,0.25,1,0.44584804823992386
Pt,Cd,0.75,0.25,1,-0.22019887205803457
Ni,V,0.5,0.5,3,-0.5410575510604474
Ni,V,0.5,0.5,3,-0.7307859318597991
Ni,W,0.5,0.5,2,-0.6159996070627756
Os,Tc,0.5,0.5,3,-0.46813077016028615
Pd,Ag,0.75,0.25,2,-0.10379102086059788
Pd,Cd,0.75,0.25,3,-0.2664334622595277
Pd,Cu,0.75,0.25,2,-0.0889089790643709
Pd,Hg,0.75,0.25,3,-0.1972668865591629
Pd,Hg,0.75,0.25,1,1.1928480191391202
Pd,Rh,0.75,0.25,3,-0.1596146306610251
Pt,Ag,0.75,0.25,1,-0.27989411746145265
Pt,Au,0.75,0.25,1,-0.278742395758826
Pt,Cd,0.75,0.25,3,-0.34411992235888533
Pt,Cu,0.75,0.25,2,-0.14900300725909688
Au,Co,0.75,0.25,2,0.18277410344038003
Pt,Cu,0.75,0.25,3,-0.20910288605861638
Au,Co,0.75,0.25,3,0.38834005384072157
Pt,Re,0.75,0.25,1,-0.0926717691536112
Pt,Zn,0.75,0.25,2,-0.054571341962372344
Pt,Rh,0.5,0.5,3,-0.20113471255805848
Ta,Sc,0.75,0.25,3,-0.9972176253567966
Tc,Co,0.75,0.25,3,-0.7481893806607047
Tc,Co,0.75,0.25,3,-0.6091880534577001
Ti,Co,0.75,0.25,3,-1.0623380043607256
Ti,Cu,0.75,0.25,3,-0.6098295617584597
Ti,Ta,0.75,0.25,3,-0.9295040013557525
W,V,0.75,0.25,3,-0.8405419601576511
Y,Nb,0.75,0.25,3,-0.8968276192581186
Au,Co,0.75,0.25,3,0.5521652379402724
Pt,Hg,0.75,0.25,3,-0.2284050091575125
Pt,Ru,0.75,0.25,1,-0.249490838358696
Pt,Zn,0.75,0.25,2,-0.25813086095783433
Re,Zn,0.5,0.5,2,-0.6290764457580451
Re,Zn,0.5,0.5,1,-0.1956902588562741
Ta,Y,0.5,0.5,3,-0.8043089141601456
Tc,Co,0.75,0.25,3,-0.6064969836579337
Tc,Ti,0.5,0.5,3,-0.8280957453598319
Ti,Cu,0.75,0.25,3,-0.6020812562591971
Ti,Sc,0.75,0.25,3,-0.9169969691601807
V,Co,0.75,0.25,3,-1.0710604774567116
Au,Co,0.75,0.25,3,0.1580993647412754
Au,Co,0.75,0.25,3,0.14510810584127398
Zn,Hg,0.75,0.25,2,0.6084311687455113
Au,Co,0.75,0.25,1,0.543010376041849
Au,Co,0.75,0.25,1,0.31795522433915835
Au,Ni,0.75,0.25,3,0.11235457954265371
Au,Ni,0.75,0.25,3,0.11872694134311246
Au,Hg,0.5,0.5,2,0.5184404011424988
Au,Pt,0.5,0.5,2,-0.24395087265926918
Sc,Y,0.5,0.5,3,-0.9611950593580048
Au,Pt,0.5,0.5,1,-0.18376296515904755
Au,Zn,0.5,0.5,2,0.6265208886480025
Cd,Co,0.75,0.25,1,-0.012274511055665016
Ag,Y,0.75,0.25,1,0.3122261396429451
Tc,Ir,0.75,0.25,3,-0.6508402466597261
Tc,Ir,0.75,0.25,3,-0.6196614429599947
Tc,Ir,0.75,0.25,3,-0.45230884716053765
La,Zr,0.5,0.5,3,-0.6254781483612248
Tc,Ir,0.75,0.25,3,-0.4128479866585337
La,Zr,0.5,0.5,3,-0.7998805335582517
La,Zr,0.5,0.5,3,-0.8797745171604845
Sc,Ti,0.5,0.5,3,-0.953797236458712
W,V,0.75,0.25,1,0.23065198913994323
La,Zr,0.5,0.5,3,-0.8280792824579919
Cu,Hf,0.75,0.25,1,-0.028647600657649264
Mn,Ta,0.5,0.5,3,-0.8384575682566435
Sc,Ti,0.5,0.5,3,-0.9665939339565455
Co,Os,0.5,0.5,3,-0.3068508028581789
Au,Zn,0.5,0.5,3,0.5814487687466965
Cu,Re,0.5,0.5,2,-0.634975601656123
Sc,Ti,0.5,0.5,3,-0.937010397657076
Co,Os,0.5,0.5,3,-0.3375826594628677
Rh,Zn,0.5,0.5,2,-0.3876823546588355
Cu,Re,0.5,0.5,3,-0.23125240835994987
Co,Os,0.5,0.5,3,-0.3730498411595988
Rh,Zn,0.5,0.5,1,-0.05593694515752645
Cu,Re,0.5,0.5,3,-0.31659560766181016
Co,Os,0.5,0.5,3,-0.3278443854569275
Rh,Zn,0.5,0.5,1,0.9363861686443045
Co,Sc,0.5,0.5,1,-0.3872330947587841
Tc,W,0.5,0.5,3,-0.499917068055737
Co,Sc,0.5,0.5,1,0.8066337187420061
Tc,W,0.5,0.5,3,-0.559483467556646
Tc,W,0.5,0.5,1,0.04249288884332714
Os,Y,0.5,0.5,0,-0.9421328046582573
Tc,W,0.5,0.5,1,-0.17698134405779342
La,Ta,0.5,0.5,2,-0.8865168177571547
Cr,Nb,0.5,0.5,3,-0.8770520181596737
Mo,Sc,0.5,0.5,3,-0.7973660656561776
Os,Y,0.5,0.5,1,1.157129948541325
Cr,Nb,0.5,0.5,1,-0.06493493345894308
Mo,Sc,0.5,0.5,3,-0.8803568407556384
Au,Ni,0.5,0.5,2,-0.17596254975703118
Co,Hg,0.5,0.5,1,0.08356044544146357
Cr,Nb,0.5,0.5,1,0.43700883844306304
Mo,Sc,0.5,0.5,3,-0.7486121094579801
Au,Ni,0.5,0.5,3,0.11297976104199847
Co,Hg,0.5,0.5,1,1.0382567460410712
Au,Rh,0.5,0.5,2,-0.24239900745939735
Mo,Sc,0.5,0.5,3,-0.7183847518562914
Au,Ni,0.5,0.5,3,0.13908595454361716
Cr,Nb,0.5,0.5,2,-0.7530272924586541
Au,Rh,0.5,0.5,3,0.10087164754170885
Au,Ni,0.5,0.5,1,0.21356051894056804
Cr,Ag,0.75,0.25,3,-0.8646380488562215
Co,Sc,0.5,0.5,2,-0.6782226540589988
Au,Rh,0.5,0.5,1,-0.04625962465703992
Re,Zr,0.5,0.5,3,-1.009977451459207
Pd,V,0.5,0.5,3,-0.2761939135588989
Re,Zr,0.5,0.5,2,-0.7690609201590348
Re,Zr,0.5,0.5,1,0.8430052706399067
Pd,V,0.5,0.5,3,-0.26668203826099557
La,Nb,0.5,0.5,2,-0.8446183615587586
Pd,V,0.5,0.5,3,-0.5676415765583158
Co,Re,0.5,0.5,3,-0.4346508359585357
Pd,V,0.5,0.5,3,-0.5959200548595334
Hf,Tc,0.5,0.5,2,-0.7451676924565334
Co,Re,0.5,0.5,3,-0.4644315186587562
Ag,Zr,0.75,0.25,1,-0.1170580671596042
Hf,Tc,0.5,0.5,3,-0.8825617791580669
Co,Re,0.5,0.5,3,-0.5378762682584863
Hf,Tc,0.5,0.5,1,0.6920336558405609
Re,Ta,0.75,0.25,3,-0.6662975371573054
La,Nb,0.5,0.5,1,-0.09358539135698152
Co,Re,0.5,0.5,1,-0.08945456726266343
Cu,Rh,0.5,0.5,3,-0.11625043325963702
Re,Ta,0.75,0.25,3,-0.7332446164573128
Hf,Tc,0.5,0.5,1,-0.18704710705694083
Re,Ta,0.75,0.25,3,-0.7878199039577964
Cu,Rh,0.5,0.5,3,-0.18225545446236424
Re,Ta,0.75,0.25,3,-0.7448570745573022
Pd,Zn,0.5,0.5,3,0.02394969134277858
Pd,Zn,0.5,0.5,3,0.2640668881367958
Cu,Rh,0.5,0.5,3,-0.3213320210624886
Cu,Rh,0.5,0.5,3,-0.32186903765884267
Cu,Cd,0.75,0.25,1,0.5211796351368605
Cu,Cd,0.75,0.25,1,0.959738025741018
W,Zn,0.5,0.5,2,-0.7703786314586694
Os,Cd,0.75,0.25,3,-0.464302536655822
Cr,Re,0.75,0.25,3,-0.8594204019563847
Cr,Re,0.75,0.25,3,-0.9411810864575898
Os,Mo,0.75,0.25,3,-0.37610962516097857
Cr,Re,0.75,0.25,3,-0.7784838141551234
W,Rh,0.75,0.25,3,-0.8352935645588957
Os,Mo,0.75,0.25,3,-0.3344940313608902
Re,Zn,0.75,0.25,1,0.03018654053542491
Cr,Re,0.75,0.25,3,-0.7804544626551149
W,Rh,0.75,0.25,3,-0.6356749342585033
Os,Mo,0.75,0.25,3,-0.4940402253587024
Re,Zn,0.75,0.25,1,1.215346935635381
Zr,Zn,0.75,0.25,3,-1.0478193706576064
W,Rh,0.75,0.25,3,-0.6357494934590875
Os,Mo,0.75,0.25,3,-0.455791223960631
Zr,Zn,0.75,0.25,3,-0.9981677108580413
Zn,Zr,0.5,0.5,0,-0.1625329155640145
Zn,Zr,0.5,0.5,3,-0.7499974409647336
Au,Co,0.5,0.5,2,-0.066972385858179
Zn,Zr,0.5,0.5,1,0.5264668071404515
Au,Co,0.5,0.5,3,0.18083107464283898
Ir,Zn,0.5,0.5,2,-0.44734059265371684
Ir,Zn,0.5,0.5,1,-0.45923713755379936
Ir,Zn,0.5,0.5,1,1.0594589040420317
Os,Ta,0.5,0.5,3,-0.278117758457455
Au,Co,0.5,0.5,3,0.20769401674718324
Cu,Zr,0.5,0.5,0,-0.30462872115364803
Ni,Ru,0.5,0.5,2,-0.15256933125689898
Au,Co,0.5,0.5,3,-0.07118470805923494
Sc,Ru,0.75,0.25,3,-1.1284220747574807
Cu,Zr,0.5,0.5,3,-0.800465306157065
Os,Ta,0.5,0.5,3,-0.5921112774549044
Ni,Ru,0.5,0.5,3,-0.2688533706595706
Au,Co,0.5,0.5,1,0.45682525664690843
Sc,Ru,0.75,0.25,3,-1.1367449485578334
Cu,Zr,0.5,0.5,1,0.15219122914371042
Os,Ta,0.5,0.5,1,0.07245425514432213
Ni,Ru,0.5,0.5,3,-0.3176296401570369
Co,Zn,0.5,0.5,2,-0.28614157915487226
Os,Cd,0.75,0.25,3,-0.24894062415748408
Sc,Ru,0.75,0.25,3,-0.6678717157583094
Cu,Zr,0.5,0.5,1,0.1597283743476794
V,Tc,0.75,0.25,1,0.01638166124124041
Re,Ta,0.5,0.5,3,-0.5576779922584763
Hg,Hf,0.75,0.25,1,-0.19911576395949737
Ni,Zn,0.75,0.25,1,0.9753781769404952
Rh,Hf,0.75,0.25,3,-0.6048195378598109
Ir,Ru,0.5,0.5,3,-0.1797914636581197
Re,Ta,0.5,0.5,3,-0.8680319886579753
Cd,Pt,0.5,0.5,2,-0.2506792955600474
Fe,La,0.5,0.5,2,-0.5628401277562887
Fe,La,0.5,0.5,1,-0.26984971545877556
Ni,Ru,0.5,0.5,3,-0.3931489856540509
Ir,Ru,0.5,0.5,3,-0.14648935575948485
Re,Ta,0.5,0.5,1,0.3934620525406274
Fe,La,0.5,0.5,1,0.6509032410404245
Ni,Ru,0.5,0.5,3,-0.3382966861599641
Co,Zn,0.5,0.5,3,0.09821554444445724
Ir,Ru,0.5,0.5,3,-0.29163242825867997
Ir,Ru,0.5,0.5,3,-0.2182970684579857
Mo,Os,0.5,0.5,3,-0.644105837257456
Cd,Pt,0.5,0.5,1,-0.2393981360573605
Co,Zn,0.5,0.5,1,0.1357694310436557
Hf,Ta,0.75,0.25,3,-1.0044646972591806
Mo,Os,0.5,0.5,3,-0.5935375620565253
