system_id,composition_fraction
random510330,"{'Sn': 0.3333333333333333, 'S': 0.6666666666666666}"
random1465851,"{'Hf': 0.5, 'Ir': 0.5}"
random1949640,"{'K': 0.08333333333333333, 'P': 0.3333333333333333, 'N': 0.5833333333333334}"
random1260616,"{'Ga': 0.6666666666666666, 'Y': 0.3333333333333333}"
random2091192,"{'Ta': 0.6666666666666666, 'S': 0.3333333333333333}"
random1069101,"{'Zr': 0.25, 'Ga': 0.75}"
random2160848,"{'Cu': 0.25, 'Ga': 0.25, 'Ni': 0.5}"
random1755262,{'Ti': 1.0}
random2309480,"{'Pb': 0.3333333333333333, 'Cl': 0.6666666666666666}"
random2361652,"{'Sn': 0.25, 'Te': 0.5, 'Pb': 0.25}"
random1459514,"{'P': 0.5, 'Zr': 0.5}"
random2324952,"{'Ti': 0.5, 'Fe': 0.5}"
random1113002,"{'Re': 0.25, 'Ti': 0.5, 'Zn': 0.25}"
random2440651,"{'K': 0.375, 'Ag': 0.375, 'As': 0.25}"
random1278396,"{'In': 0.5, 'Sr': 0.5}"
random750133,"{'Bi': 0.3333333333333333, 'Ni': 0.3333333333333333, 'Y': 0.3333333333333333}"
random2034507,"{'Mo': 0.6666666666666666, 'Ti': 0.16666666666666666, 'Zr': 0.16666666666666666}"
random1756622,{'Sn': 1.0}
random579174,"{'Sc': 0.42857142857142855, 'Si': 0.42857142857142855, 'Pt': 0.14285714285714285}"
random1942673,"{'Au': 0.75, 'Zn': 0.25}"
random749579,"{'V': 0.9142857142857143, 'N': 0.08571428571428572}"
random1845601,"{'Ir': 0.5, 'Ti': 0.5}"
random1382154,"{'Ir': 0.6666666666666666, 'P': 0.3333333333333333}"
random2034224,"{'Hg': 0.5, 'Tl': 0.5}"
random2106282,"{'Hg': 0.25, 'Pd': 0.75}"
random1326677,"{'Al': 0.6666666666666666, 'Ru': 0.3333333333333333}"
random1437605,"{'Co': 0.6666666666666666, 'Ti': 0.3333333333333333}"
random1519237,"{'Mo': 0.3333333333333333, 'Nb': 0.3333333333333333, 'Ta': 0.3333333333333333}"
random1162775,"{'K': 0.5555555555555556, 'As': 0.4444444444444444}"
random1405423,"{'Pt': 0.6666666666666666, 'W': 0.3333333333333333}"
random878065,"{'Hf': 0.5714285714285714, 'N': 0.42857142857142855}"
random1361982,"{'Ti': 0.5128205128205128, 'Se': 0.48717948717948717}"
random2444673,"{'Ag': 0.25, 'Sc': 0.5, 'Zn': 0.25}"
random464662,"{'Al': 0.2857142857142857, 'Zn': 0.14285714285714285, 'S': 0.5714285714285714}"
random778509,"{'Ti': 0.75, 'Zn': 0.25}"
random622802,"{'Ru': 0.75, 'Rh': 0.25}"
random661523,{'Sr': 1.0}
random2344349,{'Sr': 1.0}
random1789304,"{'Mn': 0.25, 'Rh': 0.5, 'Sn': 0.25}"
random1536784,"{'Pb': 0.3333333333333333, 'Se': 0.6666666666666666}"
random728029,{'Pb': 1.0}
random792809,"{'Hf': 0.25, 'Al': 0.75}"
random2236509,"{'Ta': 0.5, 'N': 0.5}"
random1121527,"{'Mn': 0.25, 'Mo': 0.25, 'As': 0.5}"
random1909465,"{'Y': 0.18181818181818182, 'Ga': 0.7272727272727273, 'Co': 0.09090909090909091}"
random366477,"{'As': 0.13333333333333333, 'Ge': 0.3333333333333333, 'Te': 0.5333333333333333}"
random249519,"{'S': 0.5, 'Sn': 0.5}"
random2112560,"{'Au': 0.7, 'Rb': 0.3}"
random641726,"{'In': 0.42857142857142855, 'Rh': 0.2857142857142857, 'Sr': 0.2857142857142857}"
random1764267,"{'Co': 0.25, 'Tc': 0.25, 'Ti': 0.5}"
random509637,"{'Mn': 0.5, 'Te': 0.5}"
random1854075,"{'Mo': 0.42857142857142855, 'Rb': 0.14285714285714285, 'S': 0.42857142857142855}"
random2217866,"{'Sn': 0.5, 'S': 0.5}"
random1170123,"{'Cl': 0.5882352941176471, 'Sc': 0.4117647058823529}"
random444948,"{'K': 0.3333333333333333, 'Cu': 0.3333333333333333, 'Te': 0.3333333333333333}"
random1457426,"{'Ga': 0.5384615384615384, 'V': 0.46153846153846156}"
random2104218,"{'Ag': 0.75, 'Au': 0.25}"
random2467019,{'Ca': 1.0}
random837570,"{'In': 0.5, 'Sr': 0.5}"
random2416767,"{'Y': 0.3333333333333333, 'Zn': 0.6666666666666666}"
random2268375,"{'Nb': 0.3333333333333333, 'Cr': 0.3333333333333333, 'Ge': 0.3333333333333333}"
random1326760,"{'V': 0.5, 'W': 0.5}"
random1176663,"{'Ni': 0.5, 'As': 0.5}"
random1506506,"{'Ca': 0.5, 'Cd': 0.375, 'Au': 0.125}"
random1631538,"{'Cr': 0.25, 'Rh': 0.75}"
random2254795,"{'Ga': 0.18181818181818182, 'Cu': 0.09090909090909091, 'Cl': 0.7272727272727273}"
random2308658,"{'Ag': 0.75, 'Sn': 0.125, 'Sb': 0.125}"
random1369038,{'Ca': 1.0}
random1179521,"{'Al': 0.4, 'S': 0.6}"
random1705459,"{'Fe': 0.2, 'P': 0.8}"
random1451649,"{'Cl': 0.6428571428571429, 'K': 0.14285714285714285, 'Ta': 0.21428571428571427}"
random1995385,"{'Zr': 0.6666666666666666, 'Si': 0.3333333333333333}"
random859715,"{'V': 0.6, 'Ga': 0.4}"
random1285467,"{'Ca': 0.6, 'N': 0.4}"
random293873,"{'Ta': 0.625, 'Ge': 0.375}"
random661857,"{'K': 0.3333333333333333, 'Hg': 0.6666666666666666}"
random2076504,"{'V': 0.75, 'Ge': 0.25}"
random2249242,"{'Al': 0.3333333333333333, 'Sr': 0.6666666666666666}"
random1504818,"{'Ta': 0.16666666666666666, 'Nb': 0.16666666666666666, 'Te': 0.6666666666666666}"
random2052184,"{'Te': 0.7272727272727273, 'Ir': 0.2727272727272727}"
random482510,"{'Ga': 0.5, 'N': 0.5}"
random1782436,"{'Ge': 0.4, 'Pt': 0.6}"
random1041752,"{'Ta': 0.5, 'Ru': 0.5}"
random1277021,"{'Nb': 0.3333333333333333, 'Si': 0.6666666666666666}"
random1307885,"{'Ti': 0.6666666666666666, 'S': 0.3333333333333333}"
random1310095,"{'Cs': 0.1111111111111111, 'Cu': 0.5555555555555556, 'S': 0.3333333333333333}"
random268977,"{'As': 0.4444444444444444, 'Na': 0.5555555555555556}"
random1063134,"{'Tl': 0.4444444444444444, 'Sn': 0.1111111111111111, 'S': 0.4444444444444444}"
random1553867,"{'In': 0.75, 'Ir': 0.25}"
random1941780,"{'Na': 0.75, 'Os': 0.25}"
random2491561,"{'Hf': 0.3333333333333333, 'Se': 0.3333333333333333, 'Te': 0.3333333333333333}"
random229347,"{'Ca': 0.625, 'Si': 0.375}"
random1510688,"{'Te': 0.6666666666666666, 'W': 0.3333333333333333}"
random2240825,"{'K': 0.5714285714285714, 'P': 0.42857142857142855}"
random1967629,"{'V': 0.5, 'S': 0.5}"
random2115878,"{'Bi': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random610144,"{'Sc': 0.75, 'Sb': 0.25}"
random2038194,"{'Sc': 0.75, 'Bi': 0.25}"
random2370040,"{'Pb': 0.45454545454545453, 'Sc': 0.5454545454545454}"
random1923343,"{'Ru': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1036541,{'Pb': 1.0}
random568587,"{'Ca': 0.16666666666666666, 'Ni': 0.8333333333333334}"
random970565,"{'Rh': 0.25, 'Tc': 0.25, 'Ti': 0.5}"
random1677563,"{'Hf': 0.6666666666666666, 'S': 0.3333333333333333}"
random2291507,"{'Mo': 0.5, 'Nb': 0.5}"
random984521,"{'Ca': 0.3333333333333333, 'Si': 0.6666666666666666}"
random258811,"{'Ca': 0.25, 'Rh': 0.25, 'Sn': 0.5}"
random1067729,"{'Au': 0.25, 'Nb': 0.75}"
random1791019,"{'Al': 0.5, 'Os': 0.5}"
random1883967,"{'Zr': 0.75, 'Rh': 0.25}"
random2124111,"{'Fe': 0.14285714285714285, 'Rh': 0.2857142857142857, 'Se': 0.5714285714285714}"
random999276,"{'Y': 0.5, 'Te': 0.5}"
random2215838,"{'Ti': 0.25, 'Pd': 0.75}"
random277136,"{'S': 0.5, 'Zn': 0.5}"
random1381436,"{'Pb': 0.5555555555555556, 'Rh': 0.4444444444444444}"
random805261,"{'Nb': 0.5, 'Rh': 0.5}"
random1754530,"{'Hg': 0.25, 'Pd': 0.75}"
random1485336,"{'Ta': 0.16666666666666666, 'Nb': 0.16666666666666666, 'Te': 0.6666666666666666}"
random590489,"{'Hf': 0.75, 'Sn': 0.25}"
random164032,"{'Al': 0.9230769230769231, 'Re': 0.07692307692307693}"
random2014398,{'Zr': 1.0}
random572792,"{'Ca': 0.5, 'In': 0.25, 'N': 0.25}"
random1404078,"{'Sc': 0.4, 'Te': 0.6}"
random2176464,"{'Sc': 0.25, 'Sn': 0.75}"
random1261045,{'Cd': 1.0}
random2063431,"{'Y': 0.3333333333333333, 'Al': 0.16666666666666666, 'Ge': 0.5}"
random1266351,"{'Pt': 0.25, 'Rh': 0.75}"
random1067572,"{'Cu': 0.3333333333333333, 'Ge': 0.16666666666666666, 'Se': 0.5}"
random857924,"{'Ga': 0.25, 'Zr': 0.75}"
random1504537,"{'Ge': 0.375, 'Ta': 0.625}"
random1773643,"{'Y': 0.16666666666666666, 'Zn': 0.8333333333333334}"
random2207738,"{'Nb': 0.4, 'Te': 0.6}"
random945003,{'V': 1.0}
random1239919,"{'Sn': 0.6, 'Pt': 0.4}"
random472923,"{'Si': 0.375, 'W': 0.625}"
random475241,"{'Hg': 0.5, 'Tl': 0.5}"
random1368148,"{'Sr': 0.25, 'Sn': 0.75}"
random459237,"{'K': 0.2, 'Fe': 0.4, 'P': 0.4}"
random2284693,"{'Tc': 0.5, 'Ir': 0.5}"
random1668765,"{'Sr': 0.25, 'Mn': 0.25, 'N': 0.5}"
random1497566,"{'Te': 0.6, 'Y': 0.4}"
random2122278,"{'Pt': 0.5, 'S': 0.5}"
random1225837,"{'Au': 0.2, 'Cl': 0.6, 'Cs': 0.2}"
random1862885,"{'Ca': 0.5, 'Ag': 0.5}"
random1878744,"{'Cu': 0.3076923076923077, 'Nb': 0.38461538461538464, 'Si': 0.3076923076923077}"
random2457833,"{'N': 0.5, 'Sb': 0.16666666666666666, 'Zn': 0.3333333333333333}"
random2276355,"{'Y': 0.25, 'Zn': 0.75}"
random2349128,"{'Y': 0.5555555555555556, 'Pt': 0.4444444444444444}"
random1126784,"{'Ga': 0.4, 'Se': 0.6}"
random3507,"{'Ru': 0.25, 'Rh': 0.75}"
random1426478,"{'Sb': 0.25, 'Sc': 0.75}"
random2141412,"{'Fe': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1318314,"{'In': 0.5, 'Hg': 0.5}"
random656916,"{'Mo': 0.3333333333333333, 'Se': 0.6666666666666666}"
random512906,{'Cs': 1.0}
random2144830,"{'Tl': 0.08333333333333333, 'Cu': 0.5833333333333334, 'S': 0.3333333333333333}"
random1244843,"{'As': 0.75, 'Ca': 0.25}"
random1322823,"{'K': 0.625, 'Se': 0.375}"
random1375757,"{'Mn': 0.25, 'Ni': 0.25, 'N': 0.5}"
random766561,"{'As': 0.3333333333333333, 'Ca': 0.6666666666666666}"
random896984,"{'In': 0.25, 'P': 0.75}"
random1844511,"{'C': 0.2, 'Cr': 0.6, 'Ge': 0.2}"
random1479536,"{'Si': 0.6666666666666666, 'Ti': 0.3333333333333333}"
random1380297,"{'Re': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1432225,"{'Sc': 0.25, 'Ga': 0.75}"
random1891701,"{'Na': 0.25, 'Bi': 0.75}"
random1705561,"{'Ta': 0.5555555555555556, 'As': 0.4444444444444444}"
random2154288,"{'Bi': 0.6666666666666666, 'K': 0.3333333333333333}"
random1081974,"{'Si': 0.5555555555555556, 'Rh': 0.4444444444444444}"
random1452008,"{'Bi': 0.3333333333333333, 'Pb': 0.08333333333333333, 'S': 0.5833333333333334}"
random1400336,"{'Nb': 0.3333333333333333, 'Te': 0.6666666666666666}"
random823998,"{'S': 0.5833333333333334, 'Y': 0.4166666666666667}"
random2036288,"{'Ga': 0.25, 'Hf': 0.25, 'Ni': 0.5}"
random2145969,"{'Si': 0.25, 'Pt': 0.75}"
random571922,"{'Sr': 0.5555555555555556, 'Pb': 0.4444444444444444}"
random2154485,"{'Cr': 0.75, 'P': 0.25}"
random1165191,"{'As': 0.3333333333333333, 'Pd': 0.6666666666666666}"
random2268313,"{'Y': 0.25, 'Ga': 0.75}"
random96719,"{'Pd': 0.4166666666666667, 'Sn': 0.5833333333333334}"
random1104683,"{'Nb': 0.3333333333333333, 'Si': 0.6666666666666666}"
random439433,"{'Au': 0.16666666666666666, 'Na': 0.5, 'S': 0.3333333333333333}"
random732754,"{'Cu': 0.6666666666666666, 'Sc': 0.16666666666666666, 'Sn': 0.16666666666666666}"
random1646293,"{'Al': 0.2857142857142857, 'Zn': 0.14285714285714285, 'S': 0.5714285714285714}"
random1379845,"{'Mn': 0.25, 'Os': 0.75}"
random794487,"{'Ag': 0.75, 'In': 0.25}"
random547755,"{'V': 0.42857142857142855, 'Se': 0.5714285714285714}"
random669346,"{'Sb': 0.25, 'Rh': 0.75}"
random1199402,{'Al': 1.0}
random110736,"{'Ga': 0.8181818181818182, 'Rh': 0.18181818181818182}"
random1604453,"{'Ga': 0.5, 'Sb': 0.5}"
random1132718,"{'Na': 0.75, 'Cd': 0.25}"
random1117540,"{'Pd': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1818278,"{'Hf': 0.25, 'Cr': 0.25, 'Ge': 0.5}"
random2095706,"{'Y': 0.2, 'Sc': 0.2, 'S': 0.6}"
random1448588,"{'Y': 0.25, 'Zr': 0.25, 'S': 0.5}"
random68452,"{'P': 0.6666666666666666, 'Ir': 0.3333333333333333}"
random1418378,"{'Al': 0.7647058823529411, 'Os': 0.23529411764705882}"
random1586030,"{'Bi': 0.4, 'Te': 0.4, 'S': 0.2}"
random2360754,"{'Nb': 0.3333333333333333, 'Si': 0.3333333333333333, 'Ni': 0.3333333333333333}"
random2479946,"{'Fe': 0.3333333333333333, 'Mo': 0.3333333333333333, 'Si': 0.3333333333333333}"
random878548,"{'Sc': 0.36363636363636365, 'N': 0.09090909090909091, 'Cl': 0.5454545454545454}"
random1994698,"{'Ga': 0.25, 'V': 0.75}"
random1231855,"{'Cr': 0.1111111111111111, 'Fe': 0.2222222222222222, 'As': 0.6666666666666666}"
random640417,"{'Y': 0.3333333333333333, 'Al': 0.3333333333333333, 'Ge': 0.3333333333333333}"
random1904758,"{'P': 0.2222222222222222, 'S': 0.7777777777777778}"
random1379129,"{'Te': 0.5, 'Y': 0.5}"
random816059,{'Pb': 1.0}
random1265487,"{'Al': 0.75, 'Co': 0.25}"
random2086007,"{'Al': 0.75, 'Ir': 0.25}"
random2007452,{'Sb': 1.0}
random1827202,"{'Zn': 0.5, 'Cu': 0.5}"
random969042,"{'Ga': 0.2, 'In': 0.2, 'S': 0.6}"
random1932610,"{'Ir': 0.25, 'P': 0.75}"
random944512,"{'Co': 0.3333333333333333, 'Ge': 0.6666666666666666}"
random690350,"{'Ta': 0.3333333333333333, 'Mn': 0.6666666666666666}"
random1944063,"{'Zr': 0.3333333333333333, 'Si': 0.16666666666666666, 'Mo': 0.5}"
random918702,"{'Zr': 0.3333333333333333, 'Cl': 0.6666666666666666}"
random2008274,"{'Co': 0.3333333333333333, 'As': 0.6666666666666666}"
random1716215,"{'S': 0.5, 'Sc': 0.5}"
random663077,"{'Al': 0.5, 'Cu': 0.5}"
random1202118,"{'Hf': 0.5555555555555556, 'Co': 0.1388888888888889, 'P': 0.3055555555555556}"
random1186015,"{'Ti': 0.5, 'S': 0.5}"
random2236446,"{'Zr': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1890706,"{'Cd': 0.5, 'Te': 0.5}"
random2146691,"{'Zr': 0.5, 'Cl': 0.5}"
random1274726,"{'Cd': 0.25, 'Ag': 0.75}"
random748042,"{'Y': 0.25, 'Al': 0.5, 'Ni': 0.25}"
random402602,"{'Co': 0.16666666666666666, 'Ga': 0.5, 'Zr': 0.3333333333333333}"
random928754,"{'Ti': 0.75, 'As': 0.25}"
random885060,"{'K': 0.2857142857142857, 'S': 0.7142857142857143}"
random961543,"{'Sr': 0.5555555555555556, 'Pb': 0.4444444444444444}"
random794655,{'Na': 1.0}
random1654974,"{'Cs': 0.5, 'Hg': 0.5}"
random367098,"{'Ti': 0.5, 'As': 0.5}"
random762136,"{'Cd': 0.2727272727272727, 'In': 0.18181818181818182, 'Se': 0.5454545454545454}"
random1867817,"{'Zn': 0.25, 'Rh': 0.75}"
random503912,"{'Ga': 0.5, 'Sc': 0.5}"
random2145938,{'Rh': 1.0}
random717522,"{'Hg': 0.25, 'S': 0.5, 'Ta': 0.25}"
random2412198,"{'Sb': 0.3333333333333333, 'Rh': 0.6666666666666666}"
random623967,"{'Tc': 0.75, 'Ru': 0.25}"
random986928,"{'Pb': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random124965,"{'Hg': 0.5, 'Te': 0.5}"
random913442,"{'Bi': 0.25, 'Na': 0.5, 'Rb': 0.25}"
random843502,"{'Hf': 0.25, 'Ir': 0.75}"
random855318,"{'Zr': 0.6666666666666666, 'Ga': 0.3333333333333333}"
random1497555,"{'Sc': 0.3333333333333333, 'Ge': 0.3333333333333333, 'Ru': 0.3333333333333333}"
random851045,"{'Sr': 0.2, 'In': 0.8}"
random1872470,"{'Cd': 0.5, 'Se': 0.125, 'Te': 0.375}"
random2055220,"{'In': 0.16, 'Pd': 0.68, 'Se': 0.16}"
random25264,"{'Ca': 0.6666666666666666, 'Sn': 0.3333333333333333}"
random2066618,"{'Ti': 0.3333333333333333, 'Cr': 0.6666666666666666}"
random2053549,"{'Cd': 0.25, 'Sb': 0.5, 'Sn': 0.25}"
random2218689,"{'Ti': 0.25, 'Al': 0.6875, 'Ni': 0.0625}"
random2387087,"{'Al': 0.3333333333333333, 'Cr': 0.3333333333333333, 'Hf': 0.3333333333333333}"
random849884,"{'In': 0.2, 'Sb': 0.2, 'Se': 0.6}"
random130360,{'Na': 1.0}
random554809,"{'Zr': 0.5555555555555556, 'Si': 0.1111111111111111, 'Pb': 0.3333333333333333}"
random1514158,"{'Co': 0.2222222222222222, 'Te': 0.2222222222222222, 'Y': 0.5555555555555556}"
random1054359,"{'Ta': 0.25, 'Os': 0.75}"
random2124227,"{'K': 0.375, 'Sb': 0.125, 'Se': 0.5}"
random963411,"{'Al': 0.3333333333333333, 'Cr': 0.3333333333333333, 'Nb': 0.3333333333333333}"
random1479059,"{'Al': 0.25, 'Cl': 0.75}"
random2408834,"{'Pt': 0.25, 'Rh': 0.75}"
random1475077,"{'Ti': 0.75, 'P': 0.25}"
random2227870,"{'K': 0.5555555555555556, 'As': 0.4444444444444444}"
random2237710,"{'Cs': 0.4, 'S': 0.6}"
random1943482,"{'Ru': 0.3333333333333333, 'Se': 0.3333333333333333, 'S': 0.3333333333333333}"
random973240,"{'Bi': 0.25, 'Ca': 0.5, 'Hg': 0.25}"
random609786,"{'Ga': 0.5, 'Se': 0.5}"
random2408153,"{'In': 0.5, 'Se': 0.5}"
random1504737,"{'Sc': 0.6666666666666666, 'In': 0.1111111111111111, 'Co': 0.2222222222222222}"
random2225343,"{'Ga': 0.75, 'Ru': 0.25}"
random811669,"{'Sr': 0.3333333333333333, 'In': 0.6666666666666666}"
random622937,{'Ca': 1.0}
random533500,"{'Mn': 0.375, 'Fe': 0.125, 'As': 0.5}"
random338060,"{'Ga': 0.5, 'Pd': 0.25, 'Y': 0.25}"
random2108710,"{'Co': 0.3333333333333333, 'Ge': 0.6666666666666666}"
random1706444,"{'Al': 0.16666666666666666, 'Cd': 0.16666666666666666, 'Cl': 0.6666666666666666}"
random884574,"{'Co': 0.25, 'Fe': 0.25, 'Ti': 0.5}"
random2255699,"{'Ge': 0.6, 'Pt': 0.4}"
random1689280,"{'K': 0.25, 'Se': 0.75}"
random1937793,"{'P': 0.2, 'Te': 0.4, 'Zr': 0.4}"
random1042172,"{'Al': 0.25, 'Pt': 0.75}"
random1742171,"{'Al': 0.75, 'Co': 0.25}"
random1958692,"{'Ga': 0.25, 'Rh': 0.5, 'Zr': 0.25}"
random2091705,"{'Pb': 0.2, 'Cl': 0.8}"
random659855,"{'K': 0.75, 'As': 0.25}"
random1337522,"{'Co': 0.3333333333333333, 'Ni': 0.3333333333333333, 'Ge': 0.3333333333333333}"
random1248005,"{'Zr': 0.3333333333333333, 'Se': 0.6666666666666666}"
random1510502,{'Zr': 1.0}
random2475586,"{'Co': 0.4117647058823529, 'Ge': 0.35294117647058826, 'Hf': 0.23529411764705882}"
random1813586,"{'Mn': 0.25, 'V': 0.75}"
random1812167,"{'Al': 0.75, 'Ge': 0.125, 'W': 0.125}"
random573823,"{'Rh': 0.3333333333333333, 'Ti': 0.6666666666666666}"
random1627802,"{'K': 0.75, 'Sb': 0.25}"
random2228543,"{'Nb': 0.2, 'Te': 0.8}"
random2300933,"{'Ti': 0.5, 'Pd': 0.5}"
random990416,"{'S': 0.5833333333333334, 'Y': 0.4166666666666667}"
random829228,"{'Na': 0.14285714285714285, 'Nb': 0.2857142857142857, 'S': 0.5714285714285714}"
random545251,"{'Nb': 0.2, 'Te': 0.8}"
random665713,"{'K': 0.25, 'Hg': 0.75}"
random2126998,"{'Na': 0.5, 'Sb': 0.25, 'As': 0.25}"
random1475735,"{'Ta': 0.2222222222222222, 'Pd': 0.1111111111111111, 'S': 0.6666666666666666}"
random1688469,"{'Pb': 0.5, 'Se': 0.5}"
random1172913,"{'Zr': 0.5555555555555556, 'Sn': 0.3333333333333333, 'N': 0.1111111111111111}"
random2108261,"{'Ti': 0.75, 'Pd': 0.25}"
random304951,"{'Ti': 0.6153846153846154, 'N': 0.38461538461538464}"
random389340,"{'Al': 0.8333333333333334, 'W': 0.16666666666666666}"
random1892897,{'Te': 1.0}
random1275506,"{'Ag': 0.6666666666666666, 'Te': 0.3333333333333333}"
random1669035,"{'Ge': 0.2222222222222222, 'Sb': 0.2222222222222222, 'Y': 0.5555555555555556}"
random1992957,"{'Sb': 0.3333333333333333, 'As': 0.3333333333333333, 'Ir': 0.3333333333333333}"
random1787419,"{'Al': 0.5517241379310345, 'Ni': 0.2413793103448276, 'Ti': 0.20689655172413793}"
random878860,"{'Pb': 0.375, 'Y': 0.625}"
random1272831,"{'Zn': 0.75, 'Au': 0.25}"
random471005,"{'Fe': 0.6666666666666666, 'Sc': 0.16666666666666666, 'Y': 0.16666666666666666}"
random2252219,"{'Rh': 0.5, 'Pb': 0.5}"
random76521,"{'Hf': 0.25, 'Pt': 0.75}"
random863025,"{'Pd': 0.42857142857142855, 'Si': 0.42857142857142855, 'Zr': 0.14285714285714285}"
random2245855,"{'Te': 0.6666666666666666, 'Au': 0.3333333333333333}"
random1961781,"{'Cr': 0.42857142857142855, 'Se': 0.5714285714285714}"
random1581257,"{'V': 0.5, 'S': 0.5}"
random2360717,"{'Ti': 0.75, 'Sb': 0.25}"
random892475,"{'Au': 0.5, 'Y': 0.5}"
random2117240,"{'Si': 0.3333333333333333, 'S': 0.6666666666666666}"
random1100129,"{'S': 0.6666666666666666, 'W': 0.3333333333333333}"
random157532,"{'Na': 0.75, 'Hg': 0.25}"
random1955755,"{'Te': 0.6, 'As': 0.4}"
random2196214,"{'Zr': 0.75, 'As': 0.25}"
random2279398,"{'Fe': 0.3333333333333333, 'As': 0.3333333333333333, 'Se': 0.3333333333333333}"
random1282869,"{'Cu': 0.25, 'Sn': 0.25, 'Pd': 0.5}"
random2215078,"{'Sn': 0.5833333333333334, 'Pd': 0.4166666666666667}"
random1708409,"{'Sc': 0.6, 'P': 0.4}"
random858959,"{'Ca': 0.75, 'Tl': 0.25}"
random2021593,"{'Zn': 0.5, 'Pt': 0.5}"
random553174,"{'Mo': 0.4, 'Pb': 0.06666666666666667, 'S': 0.5333333333333333}"
random1559141,"{'Ag': 0.6666666666666666, 'S': 0.3333333333333333}"
random1977296,"{'Cu': 0.3333333333333333, 'Si': 0.16666666666666666, 'Te': 0.5}"
random721989,"{'Hf': 0.25, 'Au': 0.75}"
random1223446,"{'Zr': 0.09523809523809523, 'P': 0.3333333333333333, 'Rh': 0.5714285714285714}"
random2392352,"{'Fe': 0.3076923076923077, 'Sb': 0.3076923076923077, 'Ti': 0.38461538461538464}"
random98495,"{'Ge': 0.5, 'Te': 0.5}"
random755856,"{'Sn': 0.5, 'S': 0.5}"
random787348,"{'In': 0.7, 'K': 0.2, 'Sr': 0.1}"
random1796533,"{'Ag': 0.5, 'Cd': 0.5}"
random1900224,"{'Nb': 0.25, 'Pt': 0.75}"
random1262074,"{'V': 0.25, 'Co': 0.75}"
random150123,"{'Al': 0.8571428571428571, 'Ru': 0.14285714285714285}"
random609877,"{'K': 0.1111111111111111, 'Pt': 0.4444444444444444, 'Si': 0.4444444444444444}"
random627938,"{'Hg': 0.25, 'K': 0.75}"
random1860139,"{'Si': 0.6, 'Os': 0.4}"
random1270575,"{'Sn': 0.4, 'S': 0.6}"
random1021671,{'In': 1.0}
random1991256,"{'Zr': 0.75, 'Sn': 0.25}"
random970987,"{'Hf': 0.3333333333333333, 'Mo': 0.6666666666666666}"
random880685,"{'Ir': 0.5, 'V': 0.5}"
random688956,"{'Sc': 0.625, 'Bi': 0.375}"
random152609,"{'Sr': 0.2, 'Sb': 0.4, 'Pd': 0.4}"
random1725660,"{'W': 0.6666666666666666, 'Zr': 0.3333333333333333}"
random1641272,"{'Ag': 0.25, 'Ga': 0.25, 'Y': 0.5}"
random1778040,"{'Pt': 0.42857142857142855, 'Te': 0.5714285714285714}"
random1357773,"{'Rb': 0.5, 'Te': 0.5}"
random828346,"{'Ag': 0.6666666666666666, 'S': 0.3333333333333333}"
random699777,"{'Zr': 0.5555555555555556, 'Sn': 0.4444444444444444}"
random1119118,"{'Ca': 0.3333333333333333, 'Ga': 0.3333333333333333, 'Si': 0.3333333333333333}"
random857707,"{'Tl': 0.25, 'Zr': 0.75}"
random244015,"{'Si': 0.375, 'W': 0.625}"
random1924003,"{'Fe': 0.2, 'P': 0.8}"
random228431,"{'Zr': 0.375, 'Ti': 0.25, 'Ga': 0.375}"
random1945620,"{'Sn': 0.42857142857142855, 'As': 0.5714285714285714}"
random2370611,"{'Ge': 0.375, 'Sr': 0.625}"
random1600315,"{'Ti': 0.1111111111111111, 'Pt': 0.8888888888888888}"
random1762279,"{'Sr': 0.25, 'Tl': 0.75}"
random664541,"{'Ga': 0.25, 'Mo': 0.75}"
random1542459,"{'W': 0.3333333333333333, 'S': 0.6666666666666666}"
random1397461,"{'S': 0.6666666666666666, 'Ti': 0.3333333333333333}"
random1366141,"{'Ta': 0.6666666666666666, 'S': 0.3333333333333333}"
random1342949,"{'Sc': 0.625, 'Ge': 0.375}"
random1549247,"{'Hf': 0.5714285714285714, 'N': 0.42857142857142855}"
random864229,"{'Fe': 0.625, 'Si': 0.375}"
random2305967,{'Pb': 1.0}
random451669,"{'Ti': 0.5, 'Sb': 0.5}"
random1575355,"{'Sr': 0.25, 'Ge': 0.75}"
random190229,"{'Hg': 0.25, 'Sn': 0.25, 'Sr': 0.5}"
random325899,"{'Na': 0.25, 'In': 0.75}"
random1554173,"{'Na': 0.75, 'Pt': 0.25}"
random663538,"{'S': 0.5, 'Sc': 0.5}"
random2165458,"{'Ti': 0.3333333333333333, 'Fe': 0.6666666666666666}"
random1536730,"{'P': 0.25, 'W': 0.75}"
random1628843,"{'Ca': 0.7272727272727273, 'Al': 0.2727272727272727}"
random712155,"{'K': 0.25, 'Se': 0.75}"
random601258,"{'W': 0.6666666666666666, 'C': 0.3333333333333333}"
random662574,{'Rb': 1.0}
random2218924,"{'Y': 0.25, 'Ag': 0.25, 'Se': 0.5}"
