system_id,composition
random70303,"{'Sb': 64, 'H': 1}"
random2302109,"{'K': 8, 'Nb': 8, 'Cl': 48, 'H': 1}"
random1781327,"{'As': 16, 'Hf': 48, 'H': 1}"
random1790810,"{'Si': 64, 'Ni': 64, 'H': 1}"
random1586157,"{'Sr': 48, 'Sn': 80, 'H': 1}"
random1054984,"{'Ag': 32, 'Se': 16, 'H': 1}"
random1450310,"{'Os': 32, 'Sc': 16, 'Zr': 16, 'H': 1}"
random729427,"{'Al': 72, 'Co': 16, 'H': 1}"
random2163778,"{'In': 24, 'Ru': 48, 'Ta': 24, 'H': 1}"
random1490331,"{'Hf': 6, 'Sc': 18, 'Si': 48, 'H': 1}"
random796914,"{'Ag': 36, 'Ca': 12, 'H': 1}"
random1145150,"{'Sc': 4, 'Al': 24, 'Fe': 24, 'H': 1}"
random2148002,"{'Y': 24, 'Ga': 72, 'Pd': 6, 'H': 1}"
random555788,"{'Cu': 48, 'Sc': 16, 'H': 1}"
random1537336,"{'Ge': 48, 'Mo': 24, 'H': 1}"
random749241,"{'H': 61, 'Zr': 30}"
random2263130,"{'Zr': 20, 'Os': 40, 'H': 1}"
random1548499,"{'Sc': 36, 'P': 24, 'H': 1}"
random1534856,"{'Nb': 36, 'C': 18, 'H': 1}"
random640904,"{'Fe': 48, 'N': 24, 'H': 1}"
random330391,"{'Sc': 10, 'Ag': 40, 'H': 1}"
random1307538,"{'Cr': 60, 'Ge': 20, 'H': 1}"
random653125,"{'Cl': 32, 'Cr': 8, 'Rb': 16, 'H': 1}"
random1441984,"{'Sc': 24, 'Si': 24, 'Pt': 8, 'H': 1}"
random215538,"{'Sc': 27, 'Ir': 27, 'H': 1}"
random1950275,"{'In': 36, 'H': 1}"
random1733265,"{'Te': 72, 'As': 48, 'H': 1}"
random2053601,"{'Co': 16, 'Ga': 32, 'S': 64, 'H': 1}"
random498880,"{'P': 48, 'Sn': 16, 'H': 1}"
random1259899,"{'Zr': 24, 'Tl': 8, 'H': 1}"
random1213750,"{'Al': 16, 'Cl': 64, 'Ti': 8, 'H': 1}"
random1163050,"{'Ag': 12, 'Bi': 12, 'Sr': 12, 'H': 1}"
random1146464,"{'Au': 32, 'Ca': 32, 'H': 1}"
random1899970,"{'Zr': 24, 'Cu': 24, 'H': 1}"
random622368,"{'In': 32, 'Sb': 8, 'Te': 24, 'H': 1}"
random1625804,"{'Sn': 24, 'Se': 24, 'H': 1}"
random1880394,"{'Au': 32, 'In': 16, 'Ti': 16, 'H': 1}"
random906152,"{'Zr': 32, 'Cu': 8, 'P': 8, 'H': 1}"
random460845,"{'Hf': 36, 'Cu': 18, 'H': 1}"
random2053428,"{'Cl': 32, 'Si': 16, 'H': 1}"
random2428983,"{'Ta': 64, 'Si': 32, 'H': 1}"
random773280,"{'Mo': 24, 'S': 36, 'H': 1}"
random1813089,"{'Ta': 24, 'Si': 48, 'H': 1}"
random2096553,"{'Cr': 12, 'Ag': 12, 'Te': 24, 'H': 1}"
random299316,"{'Zn': 36, 'Pt': 12, 'H': 1}"
random1296235,"{'Se': 32, 'Ta': 8, 'Tl': 24, 'H': 1}"
random2043305,"{'Zr': 120, 'Sn': 78, 'H': 1}"
random2398909,"{'Sc': 30, 'Ge': 18, 'H': 1}"
random759443,"{'Nb': 36, 'C': 18, 'H': 1}"
random1327674,"{'Zr': 24, 'Al': 24, 'Pt': 24, 'H': 1}"
random799261,"{'Rh': 6, 'Zn': 78, 'H': 1}"
random2123311,"{'Cs': 12, 'H': 1}"
random822196,"{'V': 30, 'S': 40, 'H': 1}"
random1177954,"{'Ga': 16, 'Te': 40, 'H': 1}"
random2256503,"{'Ge': 24, 'Mo': 40, 'H': 1}"
random2365651,"{'As': 16, 'Pd': 48, 'H': 1}"
random600008,"{'Fe': 24, 'Co': 12, 'Se': 48, 'H': 1}"
random1411740,"{'C': 8, 'Na': 16, 'S': 24, 'H': 1}"
random1244147,"{'Na': 32, 'Pd': 16, 'Se': 32, 'H': 1}"
random2271442,"{'Ir': 48, 'W': 48, 'H': 1}"
random1611915,"{'Sc': 32, 'In': 16, 'H': 1}"
random609911,"{'Co': 24, 'Ni': 24, 'Ge': 24, 'H': 1}"
random2085237,"{'Y': 32, 'H': 97}"
random1076307,"{'Ti': 60, 'Sn': 20, 'H': 1}"
random1654613,"{'Y': 18, 'Ag': 36, 'H': 1}"
random498840,"{'Ta': 4, 'Te': 4, 'Cl': 36, 'H': 1}"
random2114849,"{'Mn': 24, 'P': 96, 'H': 1}"
random846626,"{'Mn': 18, 'Zn': 54, 'H': 1}"
random298791,"{'Y': 12, 'Ag': 16, 'Ge': 16, 'H': 1}"
random1014238,"{'Re': 40, 'Ti': 20, 'W': 20, 'H': 1}"
random1834024,"{'Tl': 32, 'Pt': 48, 'H': 1}"
random2242210,"{'Sr': 12, 'Ca': 36, 'Si': 48, 'H': 1}"
random461001,"{'As': 20, 'Os': 10, 'H': 1}"
random1621122,"{'Nb': 24, 'Ir': 24, 'H': 1}"
random2454195,"{'Y': 16, 'Al': 48, 'H': 1}"
random1890671,"{'Te': 12, 'Pb': 12, 'H': 1}"
random996633,"{'Ga': 20, 'Bi': 5, 'As': 15, 'H': 1}"
random2289798,"{'Hf': 24, 'Pb': 8, 'H': 1}"
random1939774,"{'Ca': 6, 'Ga': 36, 'Te': 60, 'H': 1}"
random1272569,"{'Tl': 72, 'H': 1}"
random1157639,"{'Co': 24, 'Sb': 24, 'Se': 24, 'H': 1}"
random1039173,"{'In': 12, 'S': 16, 'H': 1}"
random2488536,"{'Zr': 24, 'Fe': 24, 'Si': 24, 'H': 1}"
random211190,"{'Cd': 48, 'H': 1}"
random260754,"{'Al': 24, 'Ru': 48, 'Ti': 24, 'H': 1}"
random1828248,"{'Zr': 24, 'Cl': 72, 'H': 1}"
random1193250,"{'Sr': 16, 'Al': 32, 'Au': 48, 'H': 1}"
random461254,"{'Hf': 54, 'Ge': 36, 'H': 1}"
random2227676,"{'Y': 10, 'In': 30, 'H': 1}"
random1535031,"{'Si': 36, 'Rh': 36, 'H': 1}"
random1262003,"{'Ti': 16, 'Al': 16, 'Au': 32, 'H': 1}"
random1656194,"{'Cs': 48, 'Sn': 24, 'Au': 84, 'H': 1}"
random1368191,"{'H': 49, 'Pd': 24, 'Ti': 48}"
random620018,"{'Fe': 36, 'Ru': 36, 'H': 1}"
random1405949,"{'Zn': 6, 'Ga': 12, 'Se': 24, 'H': 1}"
random952142,"{'As': 16, 'Cs': 32, 'Te': 48, 'H': 1}"
random1364736,"{'Fe': 24, 'K': 24, 'N': 24, 'H': 1}"
random1008050,"{'Cs': 16, 'H': 1}"
random1319996,"{'Sr': 16, 'Sn': 48, 'Pd': 16, 'H': 1}"
random2262339,"{'Hf': 48, 'Se': 72, 'H': 1}"
random338197,"{'Pd': 54, 'V': 18, 'H': 1}"
random1418139,"{'Cd': 20, 'Pd': 40, 'Zr': 20, 'H': 1}"
random247725,"{'Ga': 16, 'Sb': 16, 'H': 1}"
random1284923,"{'Se': 32, 'Tl': 32, 'H': 1}"
random237582,"{'As': 48, 'Mo': 24, 'H': 1}"
random1365913,"{'Sr': 32, 'Sn': 16, 'H': 1}"
random2052456,"{'Ge': 36, 'Pt': 72, 'H': 1}"
random585017,"{'Nb': 6, 'Ga': 18, 'Ni': 72, 'H': 1}"
random1456608,"{'Ir': 16, 'Sc': 32, 'Zn': 16, 'H': 1}"
random834370,"{'Cr': 72, 'Se': 108, 'H': 1}"
random1591143,"{'Rh': 20, 'S': 40, 'H': 1}"
random43143,"{'Mo': 24, 'P': 48, 'H': 1}"
random1407364,"{'Ti': 48, 'Mo': 48, 'H': 1}"
random1360210,"{'Ca': 18, 'Ga': 24, 'Ni': 24, 'H': 1}"
random1950029,"{'Cs': 16, 'H': 17}"
random2284959,"{'Hf': 32, 'Zn': 32, 'H': 1}"
random1564079,"{'Zr': 16, 'Cu': 16, 'Ge': 32, 'H': 1}"
random1357332,"{'As': 24, 'Mn': 36, 'H': 1}"
random598799,"{'Hf': 48, 'Ga': 24, 'H': 1}"
random85358,"{'Sc': 24, 'Sn': 8, 'H': 1}"
random1531881,"{'Sb': 8, 'Sr': 16, 'H': 1}"
random1678257,"{'Cu': 48, 'Pd': 32, 'H': 1}"
random2307667,"{'Al': 36, 'Ru': 36, 'H': 1}"
random2257959,"{'Zr': 18, 'Ni': 2, 'Mo': 8, 'H': 1}"
random640507,"{'Y': 24, 'Au': 24, 'H': 1}"
random2311448,"{'Na': 8, 'Sn': 8, 'Tl': 16, 'H': 1}"
random694969,"{'Sr': 32, 'Ga': 64, 'H': 65}"
random2468385,"{'Sn': 24, 'Te': 24, 'H': 1}"
random1934017,"{'H': 49, 'Sr': 24}"
random1406654,"{'Cr': 36, 'S': 48, 'H': 1}"
random1732997,"{'Zr': 20, 'Ge': 12, 'H': 1}"
random1907731,"{'Cs': 16, 'Ge': 8, 'Te': 32, 'H': 1}"
random513262,"{'Nb': 12, 'Pd': 54, 'Zr': 6, 'H': 1}"
random2074451,"{'Zr': 36, 'Zn': 36, 'H': 1}"
random723231,"{'Na': 24, 'S': 24, 'Zn': 12, 'H': 1}"
random2047528,"{'Fe': 12, 'Zr': 36, 'H': 1}"
random481712,"{'Al': 40, 'Mo': 8, 'H': 1}"
random2087666,"{'Ga': 48, 'Ta': 80, 'H': 1}"
random1735584,"{'Pt': 48, 'Se': 12, 'S': 36, 'H': 1}"
random219980,"{'Hg': 24, 'Na': 8, 'H': 1}"
random1720681,"{'Ti': 96, 'Sb': 32, 'H': 1}"
random2388819,"{'Sn': 48, 'H': 1}"
random1303139,"{'In': 16, 'Sr': 16, 'H': 1}"
random2389576,"{'Al': 160, 'Co': 64, 'H': 1}"
random710505,"{'Zr': 36, 'Sb': 48, 'Pt': 36, 'H': 1}"
random661391,"{'Cd': 84, 'Sc': 12, 'H': 1}"
random2146022,"{'K': 24, 'Fe': 48, 'As': 48, 'H': 1}"
random2490170,"{'Ca': 18, 'H': 1}"
random1047407,"{'Mo': 16, 'S': 16, 'Sb': 32, 'H': 1}"
random2361233,"{'P': 32, 'Os': 16, 'H': 1}"
random1467470,"{'Mo': 8, 'Si': 48, 'Ti': 16, 'H': 1}"
random1239690,"{'Co': 96, 'Cr': 32, 'H': 1}"
random2462416,"{'Bi': 8, 'K': 8, 'Na': 16, 'H': 1}"
random1203399,"{'Nb': 36, 'H': 28, 'S': 72}"
random972982,"{'Tl': 8, 'Cu': 16, 'Te': 16, 'H': 1}"
random1595180,"{'Bi': 16, 'Pd': 48, 'H': 1}"
random1651987,"{'Ir': 27, 'Se': 72, 'H': 1}"
random86804,"{'Te': 32, 'Rh': 16, 'H': 1}"
random818925,"{'Nb': 48, 'C': 24, 'H': 1}"
random2043073,"{'Sc': 32, 'Co': 48, 'Si': 16, 'H': 1}"
random443197,"{'Nb': 16, 'Cr': 16, 'N': 16, 'H': 1}"
random95145,"{'Ga': 16, 'In': 16, 'Te': 32, 'H': 1}"
random1555240,"{'Nb': 24, 'Pd': 72, 'H': 1}"
random864123,"{'Sn': 20, 'Rh': 40, 'H': 1}"
random1270931,"{'Sn': 24, 'H': 1}"
random2284123,"{'Y': 32, 'P': 32, 'S': 32, 'H': 1}"
random310848,"{'Hf': 18, 'In': 24, 'H': 1}"
random1655431,"{'Tl': 64, 'H': 1}"
random190788,"{'Sb': 32, 'H': 1}"
random582751,"{'Y': 16, 'Cu': 80, 'H': 1}"
random1685772,"{'Zr': 36, 'In': 12, 'H': 1}"
random1184216,"{'Al': 16, 'Pt': 48, 'H': 1}"
random2062870,"{'In': 36, 'H': 1}"
random1779811,"{'Ti': 30, 'Cu': 6, 'Sn': 18, 'H': 1}"
random804148,"{'Na': 20, 'Si': 40, 'Pd': 60, 'H': 1}"
random627117,"{'Sr': 48, 'Sn': 144, 'H': 1}"
random1275901,"{'Hf': 32, 'Zn': 16, 'H': 1}"
random2062065,"{'Nb': 48, 'Pt': 48, 'H': 1}"
random1715986,"{'Mo': 24, 'S': 48, 'Ti': 12, 'H': 1}"
random1430190,"{'Al': 16, 'Tl': 16, 'Cl': 64, 'H': 1}"
random1546818,"{'Ga': 80, 'Fe': 96, 'H': 1}"
random1777420,"{'Zr': 24, 'Al': 36, 'Co': 12, 'H': 1}"
random726680,"{'Sc': 48, 'Sn': 40, 'H': 1}"
random981217,"{'Sc': 70, 'P': 30, 'H': 1}"
random613101,"{'Al': 42, 'Tl': 18, 'S': 72, 'H': 1}"
random693156,"{'Mo': 36, 'Se': 48, 'H': 1}"
random575870,"{'Hf': 72, 'Al': 24, 'Fe': 12, 'H': 1}"
random91546,"{'In': 18, 'Hg': 18, 'H': 1}"
random105064,"{'Sc': 16, 'Tc': 48, 'H': 1}"
random826562,"{'Ag': 30, 'H': 1}"
random1816818,"{'Fe': 6, 'Nb': 24, 'S': 48, 'H': 1}"
random2415295,"{'Al': 8, 'Ni': 32, 'As': 24, 'H': 1}"
random1688408,"{'Sr': 8, 'Pd': 40, 'H': 1}"
random1860253,"{'Na': 24, 'Pt': 48, 'H': 1}"
random1734692,"{'Ti': 30, 'S': 48, 'H': 1}"
random1730941,"{'Hg': 8, 'Na': 24, 'H': 1}"
random1341555,"{'Ca': 12, 'Sb': 24, 'H': 1}"
random1364370,"{'Ca': 30, 'P': 48, 'H': 1}"
random1786684,"{'Al': 48, 'Hf': 48, 'H': 1}"
random2311019,"{'Ru': 32, 'Ta': 16, 'Zn': 16, 'H': 1}"
random1250240,"{'Sc': 27, 'Zn': 27, 'H': 1}"
random1639796,"{'Ca': 36, 'N': 24, 'H': 1}"
random2015010,"{'Cr': 12, 'Tc': 12, 'V': 24, 'H': 1}"
random576133,"{'Hf': 20, 'Tc': 40, 'H': 1}"
random1846417,"{'Ge': 24, 'Na': 24, 'Se': 60, 'H': 1}"
random1928436,"{'Ga': 48, 'Ni': 32, 'H': 1}"
random531271,"{'Sr': 8, 'In': 32, 'H': 1}"
random299588,"{'Rb': 8, 'Ca': 8, 'H': 25}"
random620433,"{'Ca': 16, 'Hg': 48, 'H': 1}"
random67340,"{'Pb': 24, 'Sr': 8, 'H': 1}"
random112059,"{'In': 48, 'Ru': 16, 'H': 1}"
random1402712,"{'Sc': 27, 'Zn': 27, 'H': 1}"
random2109687,"{'Ti': 36, 'As': 36, 'H': 1}"
random814978,"{'Sn': 16, 'Cl': 32, 'H': 1}"
random1469093,"{'Ge': 24, 'Se': 12, 'S': 12, 'H': 1}"
random2356619,"{'Rb': 8, 'H': 1}"
random1950263,"{'Nb': 24, 'Rh': 24, 'H': 1}"
random572368,"{'Cr': 48, 'Zr': 24, 'H': 1}"
random1881084,"{'Cu': 48, 'Ge': 16, 'H': 1}"
random1913305,"{'K': 24, 'In': 8, 'Cl': 48, 'H': 1}"
random302001,"{'Ga': 24, 'Hf': 20, 'Zr': 20, 'H': 1}"
random69636,"{'Ca': 24, 'Pb': 8, 'H': 1}"
random964776,"{'Mn': 40, 'V': 40, 'H': 1}"
random1006283,"{'Ta': 18, 'Ru': 54, 'H': 1}"
random767049,"{'Ti': 108, 'Se': 24, 'H': 1}"
random363390,"{'Ag': 16, 'Au': 48, 'H': 1}"
random472094,"{'Cd': 6, 'Cl': 48, 'Na': 36, 'H': 1}"
random2034220,"{'Hf': 32, 'Ni': 16, 'H': 1}"
random865062,"{'Ag': 8, 'Ca': 8, 'Hg': 16, 'H': 1}"
random1870239,"{'Al': 8, 'Sb': 24, 'Zr': 40, 'H': 1}"
random1040145,"{'Ti': 72, 'Ga': 36, 'N': 36, 'H': 1}"
random2121621,"{'Sc': 20, 'Pb': 12, 'H': 1}"
random1872394,"{'Y': 12, 'Pd': 12, 'Pb': 6, 'H': 1}"
random671054,"{'Mo': 9, 'Se': 36, 'W': 9, 'H': 1}"
random652718,"{'Te': 48, 'Y': 16, 'H': 1}"
random769965,"{'Sb': 16, 'Tc': 32, 'Ti': 16, 'H': 1}"
random1000486,"{'Ni': 72, 'Bi': 48, 'S': 48, 'H': 1}"
random1314621,"{'Cr': 12, 'Fe': 12, 'V': 24, 'H': 1}"
random351152,"{'Sc': 36, 'P': 24, 'H': 1}"
random590429,"{'Ta': 90, 'H': 1}"
random504005,"{'Ti': 16, 'Cr': 32, 'Si': 96, 'H': 1}"
random1918219,"{'Sr': 24, 'Sc': 24, 'N': 40, 'H': 1}"
random994968,"{'Sr': 16, 'Te': 16, 'H': 1}"
random1622481,"{'Ti': 32, 'N': 16, 'H': 1}"
random964820,"{'Cl': 36, 'Zr': 18, 'H': 1}"
random1282744,"{'Ni': 16, 'Rh': 32, 'Se': 64, 'H': 1}"
random788709,"{'Bi': 16, 'Pb': 16, 'Pd': 32, 'H': 1}"
random207789,"{'Ag': 24, 'Sn': 4, 'Sb': 4, 'H': 1}"
random666857,"{'K': 20, 'Sb': 16, 'H': 1}"
random1467757,"{'Bi': 16, 'Pd': 48, 'H': 1}"
random1119290,"{'Se': 64, 'V': 40, 'H': 1}"
random1043089,"{'As': 32, 'Mo': 16, 'H': 1}"
random2298316,"{'Al': 96, 'Tc': 16, 'H': 1}"
random1245755,"{'Zn': 36, 'Pt': 36, 'H': 1}"
random804062,"{'Ca': 24, 'Zn': 48, 'H': 1}"
random341362,"{'Rh': 48, 'Sn': 16, 'H': 1}"
random1559487,"{'Zr': 20, 'Cu': 4, 'Sn': 12, 'H': 1}"
random954204,"{'Nb': 36, 'Sb': 12, 'H': 1}"
random986849,"{'As': 48, 'H': 1}"
random2256088,"{'Hf': 32, 'Ru': 16, 'Tc': 16, 'H': 1}"
random1413329,"{'In': 32, 'Ti': 96, 'H': 1}"
random1381142,"{'Al': 48, 'Zn': 24, 'S': 96, 'H': 1}"
random2339717,"{'Y': 20, 'Ni': 20, 'H': 1}"
random1295943,"{'Ca': 40, 'Cd': 20, 'Ga': 20, 'H': 1}"
random174924,"{'Zr': 18, 'Te': 6, 'Ru': 3, 'H': 1}"
random1664892,"{'N': 48, 'Sc': 48, 'H': 1}"
random1982714,"{'Bi': 16, 'Ca': 32, 'Hg': 16, 'H': 1}"
random1002520,"{'Hf': 20, 'Sb': 36, 'H': 1}"
random1967150,"{'Hg': 12, 'H': 1}"
random1442975,"{'Ag': 18, 'As': 18, 'Se': 36, 'H': 1}"
random1685979,"{'Ti': 40, 'H': 51}"
random1992439,"{'Bi': 18, 'Sb': 18, 'H': 1}"
random474431,"{'Cl': 32, 'Tl': 16, 'H': 1}"
random863047,"{'Nb': 18, 'In': 18, 'S': 36, 'H': 1}"
random1917024,"{'Ru': 72, 'H': 1}"
random75051,"{'Cr': 54, 'H': 1}"
random654071,"{'Hf': 16, 'Pt': 64, 'H': 1}"
random2227790,"{'Fe': 16, 'Ir': 16, 'Ti': 32, 'H': 1}"
random1879103,"{'Ge': 32, 'Te': 32, 'H': 1}"
random272580,"{'Ir': 36, 'Re': 36, 'H': 1}"
random669672,"{'Mo': 24, 'Ru': 72, 'H': 1}"
random328948,"{'Sc': 18, 'In': 18, 'H': 1}"
random1833434,"{'Sr': 16, 'Al': 56, 'Ge': 8, 'H': 1}"
random2185084,"{'Hg': 16, 'Pd': 80, 'Se': 16, 'H': 1}"
random975481,"{'Ag': 80, 'Na': 40, 'H': 1}"
random1995624,"{'Al': 27, 'Ru': 27, 'H': 1}"
random871441,"{'Zn': 48, 'Au': 16, 'H': 1}"
random1738351,"{'W': 8, 'Cl': 32, 'H': 1}"
random972105,"{'Cs': 16, 'Te': 24, 'As': 8, 'H': 1}"
random1329300,"{'Sc': 32, 'Pt': 16, 'H': 1}"
random1749395,"{'Cu': 24, 'Ga': 24, 'Zr': 24, 'H': 1}"
random1873345,"{'Mo': 36, 'W': 12, 'S': 96, 'H': 1}"
random1535712,"{'Cu': 36, 'Pd': 36, 'H': 1}"
random745317,"{'Nb': 12, 'S': 24, 'H': 1}"
random1623000,"{'Bi': 18, 'Te': 30, 'Pb': 6, 'H': 1}"
random698362,"{'Si': 40, 'V': 48, 'H': 1}"
random1187083,"{'Ca': 60, 'Ga': 24, 'N': 48, 'H': 1}"
random630609,"{'Ir': 32, 'V': 32, 'H': 1}"
random1204560,"{'Al': 48, 'H': 1}"
random1821680,"{'Ti': 27, 'Rh': 27, 'H': 1}"
random1281937,"{'Os': 24, 'Ru': 24, 'H': 1}"
random2268766,"{'K': 32, 'P': 32, 'H': 1}"
random1571701,"{'Bi': 24, 'Se': 32, 'H': 1}"
random1558816,"{'V': 24, 'Co': 12, 'Se': 48, 'H': 1}"
random1476570,"{'Ti': 24, 'Cr': 12, 'Te': 48, 'H': 1}"
random569777,"{'Nb': 27, 'Rh': 27, 'H': 1}"
random177119,"{'Hf': 16, 'Al': 16, 'Cr': 16, 'H': 1}"
random329608,"{'Tl': 40, 'H': 1}"
random2431124,"{'Sc': 36, 'In': 36, 'H': 1}"
random1502895,"{'Ca': 40, 'Pb': 24, 'H': 1}"
random1179506,"{'In': 32, 'Sr': 32, 'H': 1}"
random995132,"{'Bi': 32, 'Pd': 32, 'H': 1}"
random1440443,"{'Sc': 32, 'Zn': 32, 'Pt': 32, 'H': 1}"
random1305787,"{'Rh': 8, 'Si': 24, 'Y': 16, 'H': 1}"
random705637,"{'Al': 48, 'Ru': 8, 'H': 1}"
random677034,"{'Te': 32, 'Ir': 16, 'H': 1}"
random956841,"{'K': 8, 'Au': 8, 'Cl': 32, 'H': 1}"
random994502,"{'Al': 36, 'W': 18, 'H': 1}"
random970992,"{'K': 8, 'Mo': 24, 'S': 24, 'H': 1}"
random1924080,"{'Ge': 72, 'Pt': 48, 'H': 1}"
random2047578,"{'Y': 8, 'Pt': 24, 'H': 1}"
random479292,"{'Ru': 24, 'Ta': 48, 'V': 24, 'H': 1}"
random298836,"{'Ca': 16, 'Pb': 8, 'Tl': 8, 'H': 1}"
random426698,"{'Cu': 12, 'Pt': 12, 'Zn': 24, 'H': 1}"
random594806,"{'Au': 36, 'Hf': 18, 'H': 1}"
random2410713,"{'V': 18, 'Zn': 54, 'H': 1}"
random2315538,"{'Ir': 16, 'Os': 16, 'Sc': 32, 'H': 1}"
random1259697,"{'Ti': 36, 'Co': 45, 'Ni': 9, 'H': 1}"
random1992039,"{'Ga': 90, 'Rh': 20, 'H': 1}"
random637933,"{'Nb': 36, 'Sn': 12, 'H': 1}"
random2167850,"{'Al': 20, 'Ni': 60, 'H': 1}"
random2475976,"{'Cl': 24, 'Zn': 12, 'H': 1}"
random1765593,"{'Si': 48, 'Pt': 32, 'H': 1}"
random896581,"{'K': 24, 'Sb': 24, 'Se': 48, 'H': 1}"
random424019,"{'Sn': 16, 'Te': 16, 'H': 1}"
random1437269,"{'Al': 48, 'Mn': 24, 'S': 96, 'H': 1}"
random2031010,"{'Zr': 36, 'Ga': 24, 'H': 1}"
random1312018,"{'As': 24, 'Ni': 12, 'Zr': 24, 'H': 1}"
random2389614,"{'Cu': 64, 'H': 1}"
random2154370,"{'V': 24, 'Rh': 72, 'H': 1}"
random1178674,"{'Al': 54, 'Co': 12, 'H': 1}"
random2426344,"{'Sr': 48, 'Pd': 24, 'H': 1}"
random1423265,"{'Mn': 96, 'N': 32, 'Pd': 32, 'H': 1}"
random2075626,"{'Fe': 20, 'Sb': 20, 'Ti': 20, 'H': 1}"
random458277,"{'Tl': 48, 'H': 1}"
random1008649,"{'Ta': 32, 'V': 64, 'H': 1}"
random1971628,"{'Al': 16, 'Hf': 48, 'H': 1}"
random1836754,"{'As': 32, 'Ir': 16, 'H': 1}"
random724529,"{'Ga': 6, 'Cu': 24, 'Ni': 90, 'H': 1}"
random1023189,"{'Nb': 36, 'Pt': 6, 'Au': 6, 'H': 1}"
random1770612,"{'Al': 96, 'Re': 8, 'H': 1}"
random2143728,"{'Sn': 36, 'Y': 12, 'H': 1}"
random2333213,"{'Cs': 12, 'H': 1}"
random1141502,"{'Sb': 24, 'As': 24, 'Rh': 24, 'H': 1}"
random1658548,"{'Nb': 48, 'P': 16, 'H': 1}"
random1949480,"{'P': 30, 'Rh': 60, 'H': 1}"
random1408611,"{'Al': 27, 'Os': 27, 'H': 1}"
random2147517,"{'Zn': 16, 'Pd': 32, 'H': 1}"
random1279631,"{'Cd': 32, 'Pd': 16, 'Sr': 16, 'H': 1}"
random2188655,"{'Zr': 24, 'Si': 24, 'Pd': 24, 'H': 1}"
random929393,"{'Ag': 16, 'Ru': 16, 'Sc': 32, 'H': 1}"
random666412,"{'Al': 16, 'Mn': 32, 'Ti': 16, 'H': 1}"
random508850,"{'Cu': 16, 'Te': 32, 'H': 1}"
random2329863,"{'Ti': 40, 'Rh': 40, 'H': 1}"
random1839325,"{'Ca': 32, 'H': 1}"
random964777,"{'As': 42, 'Rh': 72, 'H': 1}"
random44640,"{'Hf': 18, 'Sc': 6, 'Ga': 72, 'H': 1}"
random1389336,"{'Na': 32, 'Se': 64, 'H': 1}"
random976604,"{'Sr': 8, 'Tl': 24, 'H': 1}"
random750244,"{'Ag': 48, 'Hf': 48, 'H': 1}"
random1298918,"{'Ge': 24, 'Te': 24, 'H': 1}"
random1153717,"{'Se': 20, 'Zn': 20, 'H': 1}"
random2410030,"{'Al': 48, 'Co': 24, 'Ru': 24, 'H': 1}"
random1223993,"{'Zr': 144, 'Se': 72, 'H': 1}"
random2150121,"{'Sr': 16, 'In': 32, 'H': 1}"
random1717309,"{'Zn': 36, 'Te': 18, 'Se': 18, 'H': 1}"
random1666609,"{'Cd': 16, 'Te': 8, 'Se': 8, 'H': 1}"
random1315364,"{'Ag': 6, 'Bi': 6, 'K': 12, 'H': 1}"
random2289890,"{'Cs': 12, 'Al': 12, 'Cl': 48, 'H': 1}"
random494511,"{'Sr': 32, 'Pd': 32, 'H': 1}"
random1532460,"{'Co': 24, 'Sb': 48, 'H': 1}"
random2060900,"{'Ga': 36, 'Ti': 12, 'H': 1}"
random1893511,"{'K': 24, 'Pd': 12, 'S': 24, 'H': 1}"
random1384716,"{'Ga': 40, 'H': 1}"
random83235,"{'In': 16, 'Te': 40, 'H': 1}"
random1871040,"{'Bi': 32, 'Pd': 16, 'H': 1}"
random1003850,"{'N': 36, 'Ta': 72, 'H': 1}"
random2172984,"{'K': 16, 'Sn': 16, 'Se': 40, 'H': 1}"
random403476,"{'Ti': 48, 'Au': 16, 'H': 1}"
random1084967,"{'Au': 6, 'Ca': 24, 'Cd': 18, 'H': 1}"
random1889713,"{'Cl': 16, 'Hg': 24, 'S': 16, 'H': 1}"
random2025222,"{'Bi': 16, 'Pd': 40, 'H': 1}"
random1079346,"{'Ga': 16, 'Pt': 48, 'H': 1}"
random2119626,"{'Ca': 42, 'V': 18, 'N': 54, 'H': 1}"
random1462907,"{'Sc': 40, 'Sb': 24, 'H': 1}"
random1549999,"{'Ga': 24, 'Y': 40, 'H': 1}"
random2454701,"{'Co': 48, 'Mo': 16, 'H': 1}"
random1945754,"{'Cr': 32, 'Se': 48, 'H': 1}"
random1420138,"{'Rb': 36, 'Sb': 12, 'H': 1}"
random1732730,"{'Sb': 64, 'Te': 24, 'H': 1}"
random1715281,"{'Ti': 120, 'Sb': 72, 'H': 1}"
random1426996,"{'Cl': 72, 'Ir': 24, 'H': 1}"
random1941826,"{'Sr': 16, 'Ge': 32, 'H': 1}"
random1695063,"{'Ti': 48, 'H': 25}"
random985551,"{'Cs': 16, 'Te': 8, 'H': 1}"
random1470001,"{'Tl': 48, 'Pt': 72, 'H': 1}"
random1867420,"{'Ga': 48, 'Re': 16, 'H': 1}"
random292468,"{'Si': 48, 'H': 1}"
random2032604,"{'K': 32, 'P': 32, 'H': 1}"
random1610652,"{'Sn': 12, 'Cl': 24, 'H': 1}"
random1847036,"{'K': 20, 'Sb': 16, 'H': 1}"
random2219922,"{'Zr': 36, 'Si': 36, 'Pd': 36, 'H': 1}"
